start_date,end_date,creates,edits,deletes,total
2009-01-12 00:00:00,2009-01-19 00:00:00,0,0,0,0
2009-01-19 00:00:00,2009-01-26 00:00:00,0,0,0,0
2009-01-26 00:00:00,2009-02-02 00:00:00,0,0,0,0
2009-02-02 00:00:00,2009-02-09 00:00:00,0,0,0,0
2009-02-09 00:00:00,2009-02-16 00:00:00,0,0,0,0
2009-02-16 00:00:00,2009-02-23 00:00:00,0,0,0,0
2009-02-23 00:00:00,2009-03-02 00:00:00,0,0,0,0
2009-03-02 00:00:00,2009-03-09 00:00:00,0,0,0,0
2009-03-09 00:00:00,2009-03-16 00:00:00,0,0,0,0
2009-03-16 00:00:00,2009-03-23 00:00:00,0,0,0,0
2009-03-23 00:00:00,2009-03-30 00:00:00,0,0,0,0
2009-03-30 00:00:00,2009-04-06 00:00:00,0,0,0,0
2009-04-06 00:00:00,2009-04-13 00:00:00,0,0,0,0
2009-04-13 00:00:00,2009-04-20 00:00:00,0,0,0,0
2009-04-20 00:00:00,2009-04-27 00:00:00,0,0,0,0
2009-04-27 00:00:00,2009-05-04 00:00:00,0,0,0,0
2009-05-04 00:00:00,2009-05-11 00:00:00,0,0,0,0
2009-05-11 00:00:00,2009-05-18 00:00:00,0,0,0,0
2009-05-18 00:00:00,2009-05-25 00:00:00,0,0,0,0
2009-05-25 00:00:00,2009-06-01 00:00:00,0,0,0,0
2009-06-01 00:00:00,2009-06-08 00:00:00,0,0,0,0
2009-06-08 00:00:00,2009-06-15 00:00:00,0,0,0,0
2009-06-15 00:00:00,2009-06-22 00:00:00,0,0,0,0
2009-06-22 00:00:00,2009-06-29 00:00:00,0,0,0,0
2009-06-29 00:00:00,2009-07-06 00:00:00,0,0,0,0
2009-07-06 00:00:00,2009-07-13 00:00:00,0,0,0,0
2009-07-13 00:00:00,2009-07-20 00:00:00,0,0,0,0
2009-07-20 00:00:00,2009-07-27 00:00:00,0,0,0,0
2009-07-27 00:00:00,2009-08-03 00:00:00,0,0,0,0
2009-08-03 00:00:00,2009-08-10 00:00:00,0,0,0,0
2009-08-10 00:00:00,2009-08-17 00:00:00,0,0,0,0
2009-08-17 00:00:00,2009-08-24 00:00:00,0,0,0,0
2009-08-24 00:00:00,2009-08-31 00:00:00,0,0,0,0
2009-08-31 00:00:00,2009-09-07 00:00:00,0,0,0,0
2009-09-07 00:00:00,2009-09-14 00:00:00,0,0,0,0
2009-09-14 00:00:00,2009-09-21 00:00:00,0,0,0,0
2009-09-21 00:00:00,2009-09-28 00:00:00,0,0,0,0
2009-09-28 00:00:00,2009-10-05 00:00:00,0,0,0,0
2009-10-05 00:00:00,2009-10-12 00:00:00,0,0,0,0
2009-10-12 00:00:00,2009-10-19 00:00:00,0,0,0,0
2009-10-19 00:00:00,2009-10-26 00:00:00,0,0,0,0
2009-10-26 00:00:00,2009-11-02 00:00:00,0,0,0,0
2009-11-02 00:00:00,2009-11-09 00:00:00,0,0,0,0
2009-11-09 00:00:00,2009-11-16 00:00:00,0,0,0,0
2009-11-16 00:00:00,2009-11-23 00:00:00,0,0,0,0
2009-11-23 00:00:00,2009-11-30 00:00:00,0,0,0,0
2009-11-30 00:00:00,2009-12-07 00:00:00,0,0,0,0
2009-12-07 00:00:00,2009-12-14 00:00:00,0,0,0,0
2009-12-14 00:00:00,2009-12-21 00:00:00,0,0,0,0
2009-12-21 00:00:00,2009-12-28 00:00:00,0,0,0,0
2009-12-28 00:00:00,2010-01-04 00:00:00,0,0,0,0
2010-01-04 00:00:00,2010-01-11 00:00:00,0,0,0,0
2010-01-11 00:00:00,2010-01-18 00:00:00,0,0,0,0
2010-01-18 00:00:00,2010-01-25 00:00:00,0,0,0,0
2010-01-25 00:00:00,2010-02-01 00:00:00,0,0,0,0
2010-02-01 00:00:00,2010-02-08 00:00:00,0,0,0,0
2010-02-08 00:00:00,2010-02-15 00:00:00,0,0,0,0
2010-02-15 00:00:00,2010-02-22 00:00:00,0,0,0,0
2010-02-22 00:00:00,2010-03-01 00:00:00,0,0,0,0
2010-03-01 00:00:00,2010-03-08 00:00:00,0,0,0,0
2010-03-08 00:00:00,2010-03-15 00:00:00,0,0,0,0
2010-03-15 00:00:00,2010-03-22 00:00:00,0,0,0,0
2010-03-22 00:00:00,2010-03-29 00:00:00,0,0,0,0
2010-03-29 00:00:00,2010-04-05 00:00:00,0,0,0,0
2010-04-05 00:00:00,2010-04-12 00:00:00,0,0,0,0
2010-04-12 00:00:00,2010-04-19 00:00:00,0,0,0,0
2010-04-19 00:00:00,2010-04-26 00:00:00,0,0,0,0
2010-04-26 00:00:00,2010-05-03 00:00:00,0,0,0,0
2010-05-03 00:00:00,2010-05-10 00:00:00,0,0,0,0
2010-05-10 00:00:00,2010-05-17 00:00:00,0,0,0,0
2010-05-17 00:00:00,2010-05-24 00:00:00,0,0,0,0
2010-05-24 00:00:00,2010-05-31 00:00:00,0,0,0,0
2010-05-31 00:00:00,2010-06-07 00:00:00,0,0,0,0
2010-06-07 00:00:00,2010-06-14 00:00:00,0,0,0,0
2010-06-14 00:00:00,2010-06-21 00:00:00,0,0,0,0
2010-06-21 00:00:00,2010-06-28 00:00:00,0,0,0,0
2010-06-28 00:00:00,2010-07-05 00:00:00,0,0,0,0
2010-07-05 00:00:00,2010-07-12 00:00:00,0,0,0,0
2010-07-12 00:00:00,2010-07-19 00:00:00,0,0,0,0
2010-07-19 00:00:00,2010-07-26 00:00:00,0,0,0,0
2010-07-26 00:00:00,2010-08-02 00:00:00,0,0,0,0
2010-08-02 00:00:00,2010-08-09 00:00:00,0,0,0,0
2010-08-09 00:00:00,2010-08-16 00:00:00,0,0,0,0
2010-08-16 00:00:00,2010-08-23 00:00:00,0,0,0,0
2010-08-23 00:00:00,2010-08-30 00:00:00,0,0,0,0
2010-08-30 00:00:00,2010-09-06 00:00:00,0,0,0,0
2010-09-06 00:00:00,2010-09-13 00:00:00,0,0,0,0
2010-09-13 00:00:00,2010-09-20 00:00:00,0,0,0,0
2010-09-20 00:00:00,2010-09-27 00:00:00,0,0,0,0
2010-09-27 00:00:00,2010-10-04 00:00:00,0,0,0,0
2010-10-04 00:00:00,2010-10-11 00:00:00,0,0,0,0
2010-10-11 00:00:00,2010-10-18 00:00:00,0,0,0,0
2010-10-18 00:00:00,2010-10-25 00:00:00,0,0,0,0
2010-10-25 00:00:00,2010-11-01 00:00:00,0,0,0,0
2010-11-01 00:00:00,2010-11-08 00:00:00,0,0,0,0
2010-11-08 00:00:00,2010-11-15 00:00:00,0,0,0,0
2010-11-15 00:00:00,2010-11-22 00:00:00,0,0,0,0
2010-11-22 00:00:00,2010-11-29 00:00:00,0,0,0,0
2010-11-29 00:00:00,2010-12-06 00:00:00,0,0,0,0
2010-12-06 00:00:00,2010-12-13 00:00:00,0,0,0,0
2010-12-13 00:00:00,2010-12-20 00:00:00,0,0,0,0
2010-12-20 00:00:00,2010-12-27 00:00:00,0,0,0,0
2010-12-27 00:00:00,2011-01-03 00:00:00,0,0,0,0
2011-01-03 00:00:00,2011-01-10 00:00:00,0,0,0,0
2011-01-10 00:00:00,2011-01-17 00:00:00,0,0,0,0
2009-01-12 00:00:00,2011-01-17 00:00:00,0,0,0,0
