start_date,end_date,creates,edits,deletes,total
2020-08-14 00:00:00,2020-08-15 00:00:00,132,5,0,137
2020-08-15 00:00:00,2020-08-16 00:00:00,298,183,74,555
2020-08-16 00:00:00,2020-08-17 00:00:00,90,0,50,140
2020-08-17 00:00:00,2020-08-18 00:00:00,5,6,0,11
2020-08-18 00:00:00,2020-08-19 00:00:00,5,3,0,8
2020-08-19 00:00:00,2020-08-20 00:00:00,482,4,0,486
2020-08-20 00:00:00,2020-08-21 00:00:00,86,118,38,242
2020-08-21 00:00:00,2020-08-22 00:00:00,777,37,6,820
2020-08-22 00:00:00,2020-08-23 00:00:00,3,0,0,3
2020-08-23 00:00:00,2020-08-24 00:00:00,122,7,0,129
2020-08-24 00:00:00,2020-08-25 00:00:00,121,14,1,136
2020-08-25 00:00:00,2020-08-26 00:00:00,1052,38,20,1110
2020-08-26 00:00:00,2020-08-27 00:00:00,389,92,0,481
2020-08-27 00:00:00,2020-08-28 00:00:00,32,0,0,32
2020-08-28 00:00:00,2020-08-29 00:00:00,1432,142,197,1771
2020-08-29 00:00:00,2020-08-30 00:00:00,355,331,46,732
2020-08-30 00:00:00,2020-08-31 00:00:00,934,831,161,1926
2020-08-31 00:00:00,2020-09-01 00:00:00,8,6,1,15
2020-09-01 00:00:00,2020-09-02 00:00:00,13,261,2,276
2020-09-02 00:00:00,2020-09-03 00:00:00,282,159,12,453
2020-09-03 00:00:00,2020-09-04 00:00:00,409,11,11,431
2020-09-04 00:00:00,2020-09-05 00:00:00,6,1,0,7
2020-09-05 00:00:00,2020-09-06 00:00:00,528,3,102,633
2020-09-06 00:00:00,2020-09-07 00:00:00,579,309,124,1012
2020-09-07 00:00:00,2020-09-08 00:00:00,415,174,29,618
2020-09-08 00:00:00,2020-09-09 00:00:00,614,39,8,661
2020-09-09 00:00:00,2020-09-10 00:00:00,879,642,233,1754
2020-09-10 00:00:00,2020-09-11 00:00:00,245,81,680,1006
2020-09-11 00:00:00,2020-09-12 00:00:00,1640,386,136,2162
2020-09-12 00:00:00,2020-09-13 00:00:00,1491,466,202,2159
2020-09-13 00:00:00,2020-09-14 00:00:00,359,389,212,960
