start_date,end_date,creates,edits,deletes,total
2014-04-25 00:00:00,2014-05-25 00:00:00,48001,9179,5725,62905
2014-05-25 00:00:00,2014-06-24 00:00:00,46480,6980,4881,58341
2014-06-24 00:00:00,2014-07-24 00:00:00,35437,4379,2747,42563
2014-07-24 00:00:00,2014-08-23 00:00:00,59805,7390,2010,69205
2014-08-23 00:00:00,2014-09-22 00:00:00,189418,17288,2175,208881
2014-09-22 00:00:00,2014-10-22 00:00:00,98178,6625,2960,107763
2014-10-22 00:00:00,2014-11-21 00:00:00,79176,13842,6110,99128
2014-11-21 00:00:00,2014-12-21 00:00:00,107783,8047,11713,127543
2014-12-21 00:00:00,2015-01-20 00:00:00,61628,2861,5407,69896
2015-01-20 00:00:00,2015-02-19 00:00:00,259492,16975,7479,283946
2015-02-19 00:00:00,2015-03-21 00:00:00,727029,38168,21100,786297
2015-03-21 00:00:00,2015-04-20 00:00:00,644855,36027,26874,707756
2015-04-20 00:00:00,2015-05-20 00:00:00,11463530,2487539,731793,14682862
2015-05-20 00:00:00,2015-06-19 00:00:00,2971990,457159,129235,3558384
2015-06-19 00:00:00,2015-07-19 00:00:00,1209693,136212,65110,1411015
2015-07-19 00:00:00,2015-08-18 00:00:00,450122,36823,22086,509031
2015-08-18 00:00:00,2015-09-17 00:00:00,378343,15000,14717,408060
2015-09-17 00:00:00,2015-10-17 00:00:00,358845,23235,7140,389220
2015-10-17 00:00:00,2015-11-16 00:00:00,385605,26788,13007,425400
2015-11-16 00:00:00,2015-12-16 00:00:00,383941,31511,11338,426790
2015-12-16 00:00:00,2016-01-15 00:00:00,93454,8284,19680,121418
2016-01-15 00:00:00,2016-02-14 00:00:00,178026,6095,17096,201217
2016-02-14 00:00:00,2016-03-15 00:00:00,292833,40928,15865,349626
2016-03-15 00:00:00,2016-04-14 00:00:00,284207,23800,8081,316088
2016-04-14 00:00:00,2016-05-14 00:00:00,426806,28312,6489,461607
2014-04-25 00:00:00,2016-05-14 00:00:00,21234677,3489447,1160818,25884942
