start_date,creates,edits,deletes
2024-05-27,52,140,1
2024-06-03,20,860,35
2024-06-10,5,210,9
2024-06-17,24,297,5
2024-06-24,18,99,0
2024-07-01,354,141,12
2024-07-08,40,243,12
2024-07-15,24,118,4
2024-07-22,34,130,8
2024-07-29,156,493,15
2024-08-05,352,608,139
2024-08-12,936,425,195
2024-08-19,48,412,9
2024-08-26,14,175,7
2024-09-02,9,161,5
2024-09-09,149,220,8
2024-09-16,201,314,10
2024-09-23,879,802,122
2024-09-30,31,80,15
2024-10-07,76,521,72
2024-10-14,36,130,10
2024-10-21,36,193,17
2024-10-28,0,0,0
