start_date,creates,edits,deletes,total
2024-05-27,55,217,1,273
2024-06-03,23,1041,35,1099
2024-06-10,8,1725,14,1747
2024-06-17,25,628,5,658
2024-06-24,20,270,0,290
2024-07-01,356,297,12,665
2024-07-08,41,338,13,392
2024-07-15,24,384,4,412
2024-07-22,35,285,8,328
2024-07-29,158,769,20,947
2024-08-05,358,997,140,1495
2024-08-12,936,651,228,1815
2024-08-19,57,704,9,770
2024-08-26,15,461,7,483
2024-09-02,10,319,5,334
2024-09-09,149,347,8,504
2024-09-16,210,447,10,667
2024-09-23,884,1148,122,2154
2024-09-30,31,258,20,309
2024-10-07,78,800,76,954
2024-10-14,37,319,11,367
2024-10-21,36,313,17,366
2024-10-28,0,8,0,8
total,3546,12726,765,17037
