start_date,creates,edits,deletes,total
2022-05-02,1858,2249,123,4230
2022-05-03,226,405,19,650
2022-05-04,1059,1737,300,3096
2022-05-05,832,3061,470,4363
2022-05-06,881,573,99,1553
2022-05-07,490,671,119,1280
2022-05-08,167,313,2,482
2022-05-09,669,1016,335,2020
2022-05-10,527,496,223,1246
2022-05-11,821,804,109,1734
2022-05-12,120,159,3,282
2022-05-13,436,505,52,993
2022-05-14,956,399,20,1375
2022-05-15,460,343,33,836
2022-05-16,1008,558,51,1617
2022-05-17,333,136,7,476
2022-05-18,282,393,100,775
2022-05-19,405,967,250,1622
2022-05-20,231,368,36,635
2022-05-21,183,266,65,514
2022-05-22,290,629,302,1221
2022-05-23,259,746,137,1142
2022-05-24,364,328,635,1327
2022-05-25,1114,631,213,1958
2022-05-26,691,539,244,1474
2022-05-27,850,419,171,1440
2022-05-28,995,983,47,2025
2022-05-29,732,3144,107,3983
2022-05-30,732,1932,86,2750
2022-05-31,658,943,69,1670
2022-06-01,540,312,177,1029
2022-06-02,100,320,17,437
2022-06-03,1000,2241,384,3625
2022-06-04,207,117,48,372
2022-06-05,1740,309,104,2153
2022-06-06,88,166,3,257
2022-06-07,650,565,33,1248
2022-06-08,1795,994,67,2856
2022-06-09,911,748,49,1708
2022-06-10,1489,1644,19,3152
2022-06-11,718,718,7,1443
2022-06-12,220,114,6,340
2022-06-13,2034,1862,9,3905
2022-06-14,219,333,41,593
2022-06-15,396,173,16,585
2022-06-16,941,502,122,1565
2022-06-17,1285,609,444,2338
2022-06-18,212,82,3,297
2022-06-19,140,208,14,362
2022-06-20,485,195,25,705
2022-06-21,558,207,5,770
2022-06-22,639,482,10,1131
2022-06-23,232,581,51,864
2022-06-24,170,51,2,223
2022-06-25,11,59,1,71
2022-06-26,227,465,33,725
2022-06-27,428,369,58,855
2022-06-28,298,236,31,565
2022-06-29,847,446,27,1320
2022-06-30,95,231,33,359
2022-07-01,203,396,10,609
2022-07-02,284,215,99,598
2022-07-03,136,167,92,395
2022-07-04,393,412,57,862
2022-07-05,1643,189,94,1926
2022-07-06,429,263,59,751
2022-07-07,364,361,38,763
2022-07-08,759,378,226,1363
2022-07-09,18,97,3,118
2022-07-10,461,518,125,1104
2022-07-11,748,642,94,1484
2022-07-12,545,535,45,1125
2022-07-13,1658,550,129,2337
2022-07-14,665,408,174,1247
2022-07-15,1028,524,88,1640
2022-07-16,709,403,340,1452
2022-07-17,528,181,45,754
2022-07-18,698,430,45,1173
2022-07-19,646,361,69,1076
2022-07-20,369,236,13,618
2022-07-21,205,261,175,641
2022-07-22,676,501,23,1200
2022-07-23,246,75,22,343
2022-07-24,292,116,12,420
2022-07-25,451,508,100,1059
2022-07-26,250,206,24,480
2022-07-27,534,229,31,794
2022-07-28,622,340,188,1150
2022-07-29,1400,880,120,2400
2022-07-30,611,187,30,828
2022-07-31,308,477,33,818
2022-08-01,650,447,252,1349
2022-08-02,770,303,45,1118
2022-08-03,1102,432,107,1641
2022-08-04,1397,525,75,1997
2022-08-05,824,519,147,1490
2022-08-06,343,328,10,681
2022-08-07,112,153,50,315
2022-08-08,410,96,34,540
2022-08-09,552,415,108,1075
2022-08-10,1117,689,138,1944
2022-08-11,1326,427,139,1892
2022-08-12,142,233,40,415
2022-08-13,103,149,22,274
2022-08-14,580,384,42,1006
2022-08-15,1077,731,179,1987
2022-08-16,392,728,100,1220
2022-08-17,405,265,17,687
2022-08-18,475,319,80,874
2022-08-19,234,377,32,643
2022-08-20,521,201,8,730
2022-08-21,1349,1384,128,2861
2022-08-22,1053,563,108,1724
2022-08-23,513,418,37,968
2022-08-24,1153,751,120,2024
2022-08-25,626,294,23,943
2022-08-26,609,599,179,1387
2022-08-27,919,509,27,1455
2022-08-28,353,816,15,1184
2022-08-29,276,586,193,1055
2022-08-30,413,554,111,1078
2022-08-31,1174,968,112,2254
2022-09-01,575,556,14,1145
2022-09-02,554,415,57,1026
