start_date,creates,edits,deletes
2023-02-01,119,177,25
2023-02-02,939,633,258
2023-02-03,681,313,105
2023-02-04,784,1054,106
2023-02-05,593,1188,336
2023-02-06,310,235,68
2023-02-07,2116,728,646
2023-02-08,1485,360,236
2023-02-09,2989,594,1874
2023-02-10,553,262,20
2023-02-11,1983,851,775
2023-02-12,2273,1008,187
2023-02-13,1609,1645,372
2023-02-14,3380,1690,230
2023-02-15,1001,588,108
2023-02-16,1609,988,239
2023-02-17,1019,885,205
2023-02-18,781,1285,217
2023-02-19,3295,1991,364
2023-02-20,1381,1128,428
2023-02-21,1814,1271,477
2023-02-22,1873,1463,149
2023-02-23,3179,1889,268
2023-02-24,1285,1294,208
2023-02-25,362,404,58
2023-02-26,685,797,166
2023-02-27,618,489,65
2023-02-28,640,379,232
2023-03-01,546,382,177
2023-03-02,724,858,120
2023-03-03,590,1021,101
2023-03-04,760,876,216
2023-03-05,483,689,134
2023-03-06,482,302,22
2023-03-07,1309,699,83
2023-03-08,281,212,85
2023-03-09,285,195,81
2023-03-10,512,336,18
2023-03-11,428,1172,584
2023-03-12,787,1218,185
2023-03-13,364,311,58
2023-03-14,1527,675,256
2023-03-15,1565,691,69
2023-03-16,479,301,47
2023-03-17,998,422,112
2023-03-18,768,576,37
2023-03-19,1527,1017,93
2023-03-20,1176,1126,174
2023-03-21,686,617,56
2023-03-22,499,555,69
2023-03-23,1026,1182,142
2023-03-24,2971,2238,224
2023-03-25,490,399,32
2023-03-26,3064,2417,203
2023-03-27,1645,1010,150
2023-03-28,4655,991,91
2023-03-29,356,758,105
2023-03-30,611,467,60
2023-03-31,1227,1164,145
2023-04-01,187,263,15
2023-04-02,589,285,128
2023-04-03,2583,1269,152
2023-04-04,2130,997,169
2023-04-05,1356,559,55
2023-04-06,1709,1456,65
2023-04-07,628,2934,45
2023-04-08,1580,666,153
2023-04-09,699,94,62
2023-04-10,1615,1365,123
2023-04-11,829,2507,151
2023-04-12,496,709,941
2023-04-13,238,432,97
2023-04-14,666,747,285
2023-04-15,2507,1645,237
2023-04-16,1157,609,225
2023-04-17,842,738,290
2023-04-18,2059,1847,185
2023-04-19,1067,883,212
2023-04-20,577,1325,160
2023-04-21,3983,2225,497
2023-04-22,207,922,204
2023-04-23,1938,1110,425
2023-04-24,3891,1819,209
2023-04-25,5461,4330,686
2023-04-26,659,229,53
2023-04-27,1782,788,73
2023-04-28,2090,1388,159
2023-04-29,8868,4865,1556
2023-04-30,5147,3102,453
2023-05-01,2659,1987,425
2023-05-02,649,340,62
2023-05-03,1141,5145,391
2023-05-04,1014,755,609
2023-05-05,3289,1413,793
2023-05-06,2830,1431,790
2023-05-07,8190,3979,1590
2023-05-08,3979,1938,834
2023-05-09,1736,1627,473
2023-05-10,3980,2617,619
2023-05-11,1572,1263,360
2023-05-12,1376,1081,129
2023-05-13,3280,2995,625
2023-05-14,2706,2384,840
2023-05-15,1649,1607,314
2023-05-16,3095,2442,891
2023-05-17,4853,2670,910
2023-05-18,6958,3482,961
2023-05-19,11874,2588,474
2023-05-20,7832,2759,1166
2023-05-21,6238,3400,2259
2023-05-22,7924,4906,1838
2023-05-23,2760,2527,696
2023-05-24,1558,1548,226
2023-05-25,1643,2087,574
2023-05-26,1016,2177,549
2023-05-27,2375,1948,890
2023-05-28,1084,877,55
2023-05-29,1752,868,298
2023-05-30,1396,1205,468
2023-05-31,3310,2875,740
2023-06-01,1263,478,131
2023-06-02,1833,2536,750
2023-06-03,1844,2110,911
2023-06-04,3289,3543,1740
2023-06-05,835,421,295
2023-06-06,2252,2721,894
2023-06-07,960,496,437
2023-06-08,1732,2553,579
2023-06-09,1602,4180,870
2023-06-10,954,2871,559
2023-06-11,1650,1075,293
2023-06-12,992,845,223
2023-06-13,2038,1892,682
2023-06-14,4692,3324,1980
2023-06-15,4211,2011,722
2023-06-16,3897,1449,348
2023-06-17,1381,598,506
2023-06-18,1319,872,594
2023-06-19,1216,860,226
2023-06-20,2645,1230,438
2023-06-21,3281,1150,417
2023-06-22,1597,1080,291
2023-06-23,3638,1035,220
2023-06-24,387,234,164
2023-06-25,1410,1377,257
2023-06-26,1903,973,122
2023-06-27,5287,914,276
2023-06-28,5281,2310,348
2023-06-29,2328,1563,837
2023-06-30,1946,1601,905
2023-07-01,1005,15977,102
2023-07-02,1354,3674,88
2023-07-03,1875,2792,295
2023-07-04,4128,15927,543
2023-07-05,3143,1640,415
2023-07-06,1225,1598,237
2023-07-07,3531,1725,670
2023-07-08,1610,871,303
2023-07-09,1061,890,189
2023-07-10,1264,1195,75
2023-07-11,2788,1171,121
2023-07-12,3241,1738,325
2023-07-13,2865,807,248
2023-07-14,1450,1222,235
2023-07-15,1620,849,581
2023-07-16,1253,1254,351
2023-07-17,2788,908,361
2023-07-18,3700,1042,158
2023-07-19,2032,1696,474
2023-07-20,2314,711,223
2023-07-21,2534,2116,204
2023-07-22,553,801,280
2023-07-23,830,972,133
2023-07-24,2558,2902,614
2023-07-25,6674,4794,620
2023-07-26,6078,4225,796
2023-07-27,3084,3065,221
2023-07-28,1520,1286,294
2023-07-29,229,63,26
2023-07-30,0,0,0
