start_date,creates,edits,deletes,total
2022-05-01,19333,26175,4427,49935
2022-06-01,19233,15939,1839,37011
2022-07-01,18375,11371,2603,32349
2022-08-01,21254,15512,2678,39444
2022-09-01,24461,27299,2926,54686
2022-10-01,35335,36426,5675,77436
2022-11-01,35783,34625,4405,74813
2022-12-01,35169,31120,6105,72394
2023-01-01,35014,29615,7915,72544
2023-02-01,39356,25589,8422,73367
2023-03-01,32821,24877,3929,61627
2023-04-01,57540,42108,8065,107713
2023-05-01,105718,68921,21849,196488
2023-06-01,67663,48302,17015,132980
2023-07-01,72048,80574,9626,162248
2023-08-01,83270,52332,18027,153629
2023-09-01,48669,25895,5299,79863
2023-10-01,66446,43146,10631,120223
2023-11-01,43514,110589,6434,160537
2023-12-01,52243,34380,9652,96275
2024-01-01,47757,25241,7832,80830
2024-02-01,77886,46856,16246,140988
2024-03-01,79326,46030,11941,137297
2024-04-01,202092,58315,10594,271001
2024-05-01,5889,1025,475,7389
total,1326195,962262,204610,2493067
