start_date,creates,edits,deletes,total
2022-05-02,5602,9187,1132,15921
2022-05-09,4456,3846,775,9077
2022-05-16,2823,3412,811,7046
2022-05-23,5041,6820,1554,13415
2022-05-30,5040,6246,885,12171
2022-06-06,5996,5273,184,11453
2022-06-13,5423,3941,649,10013
2022-06-20,2481,2099,127,4707
2022-06-27,2347,2096,350,4793
2022-07-04,4268,2294,602,7164
2022-07-11,5992,3411,915,10318
2022-07-18,3249,2016,359,5624
2022-07-25,4223,2844,526,7593
2022-08-01,5262,2741,686,8689
2022-08-08,4268,2410,523,7201
2022-08-15,4502,4054,544,9100
2022-08-22,5329,4163,509,10001
2022-08-29,4418,5352,670,10440
2022-09-05,4420,4389,399,9208
2022-09-12,6673,5058,631,12362
2022-09-19,5366,11012,734,17112
2022-09-26,6268,4810,978,12056
2022-10-03,6041,9620,1096,16757
2022-10-10,6013,8554,843,15410
2022-10-17,14399,10761,2249,27409
2022-10-24,7311,4876,1125,13312
2022-10-31,7244,9112,1225,17581
2022-11-07,11085,7113,754,18952
2022-11-14,9195,9111,1185,19491
2022-11-21,5951,7009,896,13856
2022-11-28,7233,9884,1022,18139
2022-12-05,5170,5054,1022,11246
2022-12-12,6190,6001,1295,13486
2022-12-19,8515,6044,2017,16576
2022-12-26,11673,8944,1511,22128
2023-01-02,5800,6706,1841,14347
2023-01-09,6770,7007,1567,15344
2023-01-16,14883,6441,2903,24227
2023-01-23,6076,7215,1329,14620
2023-01-30,4077,4521,980,9578
2023-02-06,11709,4038,3806,19553
2023-02-13,12694,9072,1735,23501
2023-02-20,10579,8246,1754,20579
2023-02-27,4361,4694,1045,10100
2023-03-06,4084,4134,1058,9276
2023-03-13,7228,3993,672,11893
2023-03-20,9912,8534,900,19346
2023-03-27,9270,4938,694,14902
2023-04-03,10685,7975,701,19361
2023-04-10,7508,8014,2059,17581
2023-04-17,10673,9050,1973,21696
2023-04-24,27898,16521,3189,47608
2023-05-01,19772,15050,4660,39482
2023-05-08,18629,13905,3880,36414
2023-05-15,42499,18948,6975,68422
2023-05-22,18360,16070,4828,39258
2023-05-29,14687,13615,5038,33340
2023-06-05,9985,14317,3927,28229
2023-06-12,18530,10991,5055,34576
2023-06-19,14174,6966,2013,23153
2023-06-26,19104,27012,2678,48794
2023-07-03,16573,25443,2652,44668
2023-07-10,14481,8236,1936,24653
2023-07-17,14751,8246,1833,24830
2023-07-24,22424,17986,2710,43120
2023-07-31,16334,9467,2171,27972
2023-08-07,17270,15387,3392,36049
2023-08-14,22347,11586,7519,41452
2023-08-21,20141,11278,4077,35496
2023-08-28,10093,6940,1380,18413
2023-09-04,17477,6697,843,25017
2023-09-11,15576,8016,1858,25450
2023-09-18,6492,5458,968,12918
2023-09-25,11269,5205,1485,17959
2023-10-02,15204,8943,2550,26697
2023-10-09,11663,8782,1682,22127
2023-10-16,19711,12113,3355,35179
2023-10-23,13450,9608,2445,25503
2023-10-30,12056,10189,1778,24023
2023-11-06,12818,15138,2381,30337
2023-11-13,9226,76384,1368,86978
2023-11-20,8416,8077,1135,17628
2023-11-27,6114,6283,808,13205
2023-12-04,18509,9903,3566,31978
2023-12-11,11832,9779,2240,23851
2023-12-18,9945,5732,2144,17821
2023-12-25,9659,6389,1203,17251
2024-01-01,13238,7755,1836,22829
2024-01-08,9051,5939,1760,16750
2024-01-15,13010,4430,2340,19780
2024-01-22,10021,5403,1504,16928
2024-01-29,7916,5090,1385,14391
2024-02-05,16873,19410,4283,40566
2024-02-12,23705,8167,6368,38240
2024-02-19,20796,11450,3408,35654
2024-02-26,20208,9160,2493,31861
2024-03-04,18000,7668,2177,27845
2024-03-11,13759,10470,1945,26174
2024-03-18,23649,13050,4489,41188
2024-03-25,14743,10135,2031,26909
2024-04-01,20828,12838,2289,35955
2024-04-08,86447,11939,2258,100644
2024-04-15,66006,9617,3050,78673
2024-04-22,22795,20765,2447,46007
2024-04-29,11905,4181,1025,17111
total,1326195,962262,204610,2493067
