start_date,creates,edits,deletes
2023-01-30,3146,3499,935
2023-02-06,11731,4387,4262
2023-02-13,12712,9362,1989
2023-02-20,10604,8685,1953
2023-02-27,4371,5106,1162
2023-03-06,4095,4614,1129
2023-03-13,7246,4351,745
2023-03-20,9998,9021,1038
2023-03-27,9329,5222,786
2023-04-03,10922,8495,783
2023-04-10,7530,8311,2185
2023-04-17,10689,9318,2149
2023-04-24,27917,16799,3447
2023-05-01,19812,15451,5007
2023-05-08,18704,14421,4330
2023-05-15,42611,19893,7935
2023-05-22,18471,16634,5452
2023-05-29,14720,14163,5512
2023-06-05,10031,14764,4474
2023-06-12,18583,11384,5562
2023-06-19,14212,7463,2268
2023-06-26,19152,27327,2916
2023-07-03,16661,26074,3101
2023-07-10,14500,9026,2152
2023-07-17,14784,8732,2038
2023-07-24,20187,16886,2891
