start_date,creates,edits,deletes,total
2020-08-12,1530,50,54,1634
2020-08-13,1282,23,3,1308
2020-08-14,132,5,0,137
2020-08-15,298,183,59,540
2020-08-16,90,0,40,130
2020-08-17,5,6,0,11
2020-08-18,5,3,0,8
2020-08-19,482,4,0,486
2020-08-20,86,118,32,236
2020-08-21,777,37,5,819
2020-08-22,3,0,0,3
2020-08-23,122,7,0,129
2020-08-24,121,14,1,136
2020-08-25,1052,38,16,1106
2020-08-26,389,92,0,481
2020-08-27,32,0,0,32
2020-08-28,1432,142,156,1730
2020-08-29,355,331,37,723
2020-08-30,934,831,142,1907
2020-08-31,8,6,1,15
2020-09-01,13,261,2,276
2020-09-02,314,160,10,484
2020-09-03,377,10,9,396
2020-09-04,332,1,0,333
2020-09-05,203,3,81,287
2020-09-06,578,309,103,990
2020-09-07,415,174,28,617
2020-09-08,614,39,8,661
2020-09-09,880,642,187,1709
2020-09-10,297,95,559,951
2020-09-11,1587,372,130,2089
2020-09-12,1491,467,182,2140
2020-09-13,360,388,190,938
2020-09-14,805,2147,128,3080
2020-09-15,319,699,82,1100
2020-09-16,58,31,1,90
2020-09-17,1075,1242,50,2367
2020-09-18,5699,2997,423,9119
2020-09-19,8925,7226,793,16944
2020-09-20,4066,2355,282,6703
2020-09-21,6949,3026,793,10768
2020-09-22,5214,1561,567,7342
2020-09-23,8588,4196,1620,14404
2020-09-24,2348,1436,167,3951
2020-09-25,5660,3918,1107,10685
2020-09-26,3166,1439,445,5050
2020-09-27,1557,1481,402,3440
2020-09-28,3950,2399,1037,7386
2020-09-29,3544,3034,348,6926
2020-09-30,2090,2126,264,4480
2020-10-01,3703,2568,300,6571
2020-10-02,2973,2477,123,5573
2020-10-03,971,1416,206,2593
2020-10-04,2635,3134,353,6122
2020-10-05,4259,2899,733,7891
2020-10-06,3266,3013,350,6629
2020-10-07,1472,2609,258,4339
2020-10-08,1449,2005,269,3723
2020-10-09,1729,1174,95,2998
2020-10-10,547,400,46,993
2020-10-11,2777,1735,778,5290
2020-10-12,1452,991,82,2525
2020-10-13,1227,2405,202,3834
2020-10-14,1263,500,293,2056
2020-10-15,1814,1169,138,3121
2020-10-16,1186,448,79,1713
2020-10-17,1628,3856,283,5767
2020-10-18,2626,669,1076,4371
2020-10-19,2599,1760,249,4608
2020-10-20,1040,956,828,2824
2020-10-21,185,536,346,1067
2020-10-22,719,116,324,1159
2020-10-23,396,114,117,627
2020-10-24,10,106,9,125
2020-10-25,9,56,2,67
2020-10-26,558,347,137,1042
2020-10-27,486,507,193,1186
2020-10-28,764,769,336,1869
2020-10-29,269,416,131,816
2020-10-30,982,392,441,1815
2020-10-31,54,7,37,98
2020-11-01,25,12,8,45
2020-11-02,1027,1639,518,3184
2020-11-03,250,78,4,332
2020-11-04,33,71,10,114
2020-11-05,472,14,22,508
2020-11-06,67,125,0,192
2020-11-07,1214,290,182,1686
2020-11-08,205,441,26,672
2020-11-09,137,53,44,234
2020-11-10,737,406,272,1415
2020-11-11,125,69,28,222
2020-11-12,89,6,0,95
2020-11-13,145,46,44,235
2020-11-14,769,91,27,887
2020-11-15,83,10,16,109
2020-11-16,66,11,8,85
2020-11-17,39,11,0,50
2020-11-18,10,2,0,12
2020-11-19,674,453,338,1465
2020-11-20,461,146,148,755
2020-11-21,155,87,0,242
2020-11-22,79,6,4,89
2020-11-23,21,6,2,29
2020-11-24,244,291,103,638
2020-11-25,193,429,165,787
2020-11-26,152,93,12,257
2020-11-27,849,265,196,1310
2020-11-28,209,78,61,348
2020-11-29,339,56,48,443
2020-11-30,3,19,2,24
2020-12-01,107,224,128,459
2020-12-02,295,435,77,807
2020-12-03,642,232,201,1075
2020-12-04,189,233,29,451
2020-12-05,93,48,26,167
2020-12-06,5,10,0,15
2020-12-07,404,509,104,1017
2020-12-08,2168,222,28,2418
2020-12-09,2716,368,142,3226
2020-12-10,2748,1098,389,4235
2020-12-11,153,1,56,210
2020-12-12,230,75,62,367
2020-12-13,90,0,60,150
2020-12-14,37,4,0,41
2020-12-15,815,230,195,1240
2020-12-16,70,51,0,121
2020-12-17,378,9,0,387
2020-12-18,1639,12,0,1651
2020-12-19,561,314,173,1048
2020-12-20,3,7,1,11
2020-12-21,9,3,0,12
2020-12-22,576,271,149,996
2020-12-23,888,470,240,1598
2020-12-24,8,42,1,51
2020-12-25,2,1,0,3
2020-12-26,10,4,0,14
2020-12-27,100,2,20,122
