disaster_id,disaster_label,pre,imm,post,total
3,Haiti (2010),304312,1727802,285992,2318106
8,Texas (2017),1910185,1314152,1159910,4384247
7,California (2020),196211,12432,96062,304705
5,Haiti (2021),2557464,1618670,808180,4984314
6,Nepal (2015),3623168,15966674,2850706,22440548
9,Sulawesi (2018),2546234,1010645,443217,4000096
14,Atami (2021),6762,8980,4116,19858
13,Pakistan (2022),1798127,860106,732736,3390969
10,Attica (2018),18902,5642,49854,74398
11,Izmir (2020),699339,1572247,1242859,3514445
12,Gaziantep (2023),482200,8500346,1401390,10383936
2,EmiliaRomagna (2023),711219,182642,636377,1530238
18,Freetown (2017),150829,23574,29137,203540
15,Derna (2023),1879,102268,18146,122293
16,Malawi (2023),1052722,1920144,2522595,5495461
17,Morocco (2023),49467,2429962,892312,3371741
