key,count,percent_of_total_changes,percent_difference_from_pre
highway,150,15.8898,0.0
maxspeed,98,10.3814,0.0
surface,80,8.4746,0.0
ref,78,8.2627,0.0
lit,73,7.7331,0.0
name,72,7.6271,0.0
railway,70,7.4153,0.0
gauge,64,6.7797,0.0
electrified,59,6.25,0.0
voltage,55,5.8263,0.0
frequency,53,5.6144,0.0
oneway,52,5.5085,0.0
loading_gauge,46,4.8729,0.0
usage,43,4.5551,0.0
foot,40,4.2373,0.0
bicycle,32,3.3898,0.0
power,30,3.178,0.0
source,30,3.178,0.0
building,25,2.6483,0.0
lanes,24,2.5424,0.0
segregated,24,2.5424,0.0
source:maxspeed,23,2.4364,0.0
est_width,22,2.3305,0.0
addr:street,21,2.2246,0.0
crossing,21,2.2246,0.0
service,21,2.2246,0.0
tactile_paving,17,1.8008,0.0
bridge,16,1.6949,0.0
layer,16,1.6949,0.0
crossing:markings,15,1.589,0.0
landuse,15,1.589,0.0
crossing:island,14,1.4831,0.0
designation,13,1.3771,0.0
prow_ref,13,1.3771,0.0
source:prow_ref,13,1.3771,0.0
building:levels,11,1.1653,0.0
dual_carriageway,11,1.1653,0.0
roof:levels,11,1.1653,0.0
sidewalk,11,1.1653,0.0
source:designation,11,1.1653,0.0
tracks,11,1.1653,0.0
addr:housename,10,1.0593,0.0
addr:postcode,10,1.0593,0.0
footway,10,1.0593,0.0
maxspeed:type,10,1.0593,0.0
natural,10,1.0593,0.0
railway:track_ref,10,1.0593,0.0
shop,10,1.0593,0.0
website,10,1.0593,0.0
barrier,9,0.9534,0.0
passenger_lines,9,0.9534,0.0
alt_name,8,0.8475,0.0
public_transport,8,0.8475,0.0
brand,7,0.7415,0.0
brand:wikidata,7,0.7415,0.0
operator,7,0.7415,0.0
cycleway,6,0.6356,0.0
disused:railway,6,0.6356,0.0
junction,6,0.6356,0.0
access,5,0.5297,0.0
addr:housenumber,5,0.5297,0.0
check_date,5,0.5297,0.0
cycleway:surface,5,0.5297,0.0
footway:surface,5,0.5297,0.0
source:name,5,0.5297,0.0
addr:city,4,0.4237,0.0
area,4,0.4237,0.0
bus,4,0.4237,0.0
check_date:opening_hours,4,0.4237,0.0
crossing_ref,4,0.4237,0.0
lane_markings,4,0.4237,0.0
opening_hours,4,0.4237,0.0
operator:wikidata,4,0.4237,0.0
substation,4,0.4237,0.0
tourism,4,0.4237,0.0
traffic_calming,4,0.4237,0.0
waterway,4,0.4237,0.0
contact:website,3,0.3178,0.0
cycleway:left,3,0.3178,0.0
naptan:AtcoCode,3,0.3178,0.0
naptan:Bearing,3,0.3178,0.0
naptan:CommonName,3,0.3178,0.0
naptan:Crossing,3,0.3178,0.0
naptan:Indicator,3,0.3178,0.0
naptan:Landmark,3,0.3178,0.0
naptan:NaptanCode,3,0.3178,0.0
naptan:PlusbusZoneRef,3,0.3178,0.0
naptan:ShortCommonName,3,0.3178,0.0
naptan:Street,3,0.3178,0.0
shelter,3,0.3178,0.0
tracktype,3,0.3178,0.0
tunnel,3,0.3178,0.0
addr:country,2,0.2119,0.0
artwork_type,2,0.2119,0.0
brand:wikipedia,2,0.2119,0.0
contact:facebook,2,0.2119,0.0
contact:twitter,2,0.2119,0.0
cycleway:both,2,0.2119,0.0
cycleway:both:segregated,2,0.2119,0.0
fhrs:id,2,0.2119,0.0
internet_access,2,0.2119,0.0
lanes:backward,2,0.2119,0.0
lanes:forward,2,0.2119,0.0
note,2,0.2119,0.0
phone,2,0.2119,0.0
sidewalk:left,2,0.2119,0.0
sidewalk:right,2,0.2119,0.0
statue,2,0.2119,0.0
taxi,2,0.2119,0.0
tourism_1,2,0.2119,0.0
turning_circle,2,0.2119,0.0
verge,2,0.2119,0.0
wheelchair,2,0.2119,0.0
amenity,1,0.1059,0.0
boat,1,0.1059,0.0
circuits,1,0.1059,0.0
clothes,1,0.1059,0.0
construction,1,0.1059,0.0
cycleway:left:segregated,1,0.1059,0.0
description,1,0.1059,0.0
direction,1,0.1059,0.0
fence_type,1,0.1059,0.0
fixme,1,0.1059,0.0
handrail,1,0.1059,0.0
horse,1,0.1059,0.0
incline,1,0.1059,0.0
industrial,1,0.1059,0.0
kerb,1,0.1059,0.0
leisure,1,0.1059,0.0
locked,1,0.1059,0.0
material,1,0.1059,0.0
naptan:verified,1,0.1059,0.0
nohousenumber,1,0.1059,0.0
office,1,0.1059,0.0
old_name,1,0.1059,0.0
plant:output:electricity,1,0.1059,0.0
plant:source,1,0.1059,0.0
repd:id,1,0.1059,0.0
smoothness,1,0.1059,0.0
social_facility,1,0.1059,0.0
source:voltage,1,0.1059,0.0
step_count,1,0.1059,0.0
width,1,0.1059,0.0
