key,count,percent_of_total_changes,percent_difference_from_pre,percent_difference_from_pre_day
source,70,9.8039,0.0,0.0
name,62,8.6835,0.0,0.0
name:ja,58,8.1232,0.0,0.0
name:en,52,7.2829,0.0,0.0
frequency,51,7.1429,0.0,0.0
operator,51,7.1429,0.0,0.0
operator:en,51,7.1429,0.0,0.0
voltage,51,7.1429,0.0,0.0
electrified,50,7.0028,0.0,0.0
gauge,50,7.0028,0.0,0.0
name:de,50,7.0028,0.0,0.0
name:ru,50,7.0028,0.0,0.0
operator:ja,50,7.0028,0.0,0.0
operator:ja_rm,50,7.0028,0.0,0.0
passenger_lines,50,7.0028,0.0,0.0
railway,50,7.0028,0.0,0.0
usage,50,7.0028,0.0,0.0
name:fr,45,6.3025,0.0,0.0
name:it,45,6.3025,0.0,0.0
name:ja-Latn,45,6.3025,0.0,0.0
name:jp,45,6.3025,0.0,0.0
name:sv,45,6.3025,0.0,0.0
oneway,37,5.1821,0.0,0.0
highway,31,4.3417,0.0,0.0
note,31,4.3417,0.0,0.0
layer,29,4.0616,0.0,0.0
building,28,3.9216,0.0,0.0
note:ja,26,3.6415,0.0,0.0
source_ref,26,3.6415,0.0,0.0
KSJ2:LIN,21,2.9412,0.0,0.0
name:ar,18,2.521,0.0,0.0
name:fa,18,2.521,0.0,0.0
tunnel,17,2.381,0.0,0.0
bridge,12,1.6807,0.0,0.0
landuse,9,1.2605,0.0,0.0
wikipedia,6,0.8403,0.0,0.0
highspeed,5,0.7003,0.0,0.0
maxspeed,5,0.7003,0.0,0.0
name:ja_kana,5,0.7003,0.0,0.0
name:ja_rm,5,0.7003,0.0,0.0
waterway,5,0.7003,0.0,0.0
amenity,2,0.2801,0.0,0.0
natural,2,0.2801,0.0,0.0
ref,2,0.2801,0.0,0.0
source:name,2,0.2801,0.0,0.0
water,2,0.2801,0.0,0.0
addr:block_number,1,0.1401,0.0,0.0
addr:city,1,0.1401,0.0,0.0
addr:postcode,1,0.1401,0.0,0.0
addr:province,1,0.1401,0.0,0.0
addr:quarter,1,0.1401,0.0,0.0
alt_name,1,0.1401,0.0,0.0
building:colour,1,0.1401,0.0,0.0
building:levels,1,0.1401,0.0,0.0
building:levels:underground,1,0.1401,0.0,0.0
cables,1,0.1401,0.0,0.0
leisure,1,0.1401,0.0,0.0
material,1,0.1401,0.0,0.0
name:ja-Hira,1,0.1401,0.0,0.0
phone,1,0.1401,0.0,0.0
place,1,0.1401,0.0,0.0
power,1,0.1401,0.0,0.0
religion,1,0.1401,0.0,0.0
tourism,1,0.1401,0.0,0.0
width,1,0.1401,0.0,0.0
wikidata,1,0.1401,0.0,0.0
wires,1,0.1401,0.0,0.0
