key,value,count,percent_of_total_changes_for_key,percent_difference_from_pre,percent_difference_from_pre_day
amenity,toilets,106,27.9683,10500.0,10500.0
amenity,kitchen,60,15.8311,5900.0,5900.0
amenity,place_of_worship,38,10.0264,3700.0,3700.0
amenity,school,25,6.5963,2400.0,2400.0
amenity,shower,23,6.0686,2200.0,2200.0
amenity,marketplace,18,4.7493,1700.0,1700.0
amenity,parking,18,4.7493,1700.0,1700.0
amenity,watering_place,18,4.7493,1700.0,1700.0
amenity,drinking_water,12,3.1662,1100.0,1100.0
amenity,hospital,12,3.1662,1100.0,1100.0
amenity,restaurant,6,1.5831,500.0,500.0
amenity,post_office,4,1.0554,300.0,300.0
amenity,bank,3,0.7916,200.0,200.0
amenity,water_point,3,0.7916,200.0,200.0
amenity,atm,2,0.5277,100.0,100.0
amenity,bus_station,2,0.5277,100.0,100.0
amenity,cafe,2,0.5277,100.0,100.0
amenity,courthouse,2,0.5277,100.0,100.0
amenity,gambling,2,0.5277,100.0,100.0
amenity,police,2,0.5277,100.0,100.0
amenity,public_building,2,0.5277,100.0,100.0
amenity,shelter,2,0.5277,100.0,100.0
amenity,shower;toilets,2,0.5277,100.0,100.0
amenity,studio,2,0.5277,100.0,100.0
amenity,university,2,0.5277,100.0,100.0
amenity,bar,1,0.2639,0.0,0.0
amenity,bench,1,0.2639,0.0,0.0
amenity,bicycle_parking,1,0.2639,0.0,0.0
amenity,childcare,1,0.2639,0.0,0.0
amenity,doctors,1,0.2639,0.0,0.0
amenity,fuel,1,0.2639,0.0,0.0
amenity,parking_space,1,0.2639,0.0,0.0
amenity,pharmacy,1,0.2639,0.0,0.0
amenity,prison,1,0.2639,0.0,0.0
amenity,theatre,1,0.2639,0.0,0.0
amenity,townhall,1,0.2639,0.0,0.0
building,yes,229824,98.6323,22982300.0,22982300.0
building,house,2151,0.9231,215000.0,215000.0
building,residential,706,0.303,70500.0,70500.0
building,ruins,129,0.0554,12800.0,12800.0
building,construction,41,0.0176,4000.0,4000.0
building,industrial,31,0.0133,3000.0,3000.0
building,church,15,0.0064,1400.0,1400.0
building,school,15,0.0064,1400.0,1400.0
building,train_station,13,0.0056,1200.0,1200.0
building,apartments,12,0.0051,1100.0,1100.0
building,commercial,9,0.0039,800.0,800.0
building,garage,8,0.0034,700.0,700.0
building,barn,7,0.003,600.0,600.0
building,hut,7,0.003,600.0,600.0
building,college,5,0.0021,400.0,400.0
building,shed,5,0.0021,400.0,400.0
building,allotment_house,4,0.0017,300.0,300.0
building,farm_auxiliary,4,0.0017,300.0,300.0
building,retail,4,0.0017,300.0,300.0
building,farm,3,0.0013,200.0,200.0
building,roof,3,0.0013,200.0,200.0
building,vc house,3,0.0013,200.0,200.0
building,House,1,0.0004,0.0,0.0
building,VC's house,1,0.0004,0.0,0.0
building,footway,1,0.0004,0.0,0.0
building,hospital,1,0.0004,0.0,0.0
building,house;yes,1,0.0004,0.0,0.0
building,kitchen,1,0.0004,0.0,0.0
building,office,1,0.0004,0.0,0.0
building,panel_house,1,0.0004,0.0,0.0
building,q,1,0.0004,0.0,0.0
building,stable,1,0.0004,0.0,0.0
building,university,1,0.0004,0.0,0.0
building,й,1,0.0004,0.0,0.0
emergency,yes,84,98.8235,8300.0,8300.0
emergency,fire_hose,1,1.1765,0.0,0.0
highway,path,17434,41.1383,1743300.0,1743300.0
highway,unclassified,8752,20.6517,875100.0,875100.0
highway,residential,8160,19.2548,815900.0,815900.0
highway,track,3623,8.549,362200.0,362200.0
highway,footway,1871,4.4149,187000.0,187000.0
highway,service,1234,2.9118,123300.0,123300.0
highway,tertiary,423,0.9981,42200.0,42200.0
highway,trunk,340,0.8023,33900.0,33900.0
highway,secondary,201,0.4743,20000.0,20000.0
highway,crossing,124,0.2926,12300.0,12300.0
highway,primary,43,0.1015,4200.0,4200.0
highway,motorway,41,0.0967,4000.0,4000.0
highway,construction,33,0.0779,3200.0,3200.0
highway,living_street,28,0.0661,2700.0,2700.0
highway,road,25,0.059,2400.0,2400.0
highway,motorway_junction,22,0.0519,2100.0,2100.0
highway,secondary_link,4,0.0094,300.0,300.0
highway,trunk_link,4,0.0094,300.0,300.0
