key,value,count,percent_of_total_changes_for_key,percent_difference_from_pre,percent_difference_from_pre_day
amenity,fuel,24,27.5862,2300.0,2300.0
amenity,restaurant,10,11.4943,900.0,900.0
amenity,cafe,9,10.3448,800.0,800.0
amenity,place_of_worship,8,9.1954,700.0,700.0
amenity,school,7,8.046,600.0,600.0
amenity,parking,6,6.8966,500.0,500.0
amenity,drinking_water,4,4.5977,300.0,300.0
amenity,bank,3,3.4483,200.0,200.0
amenity,pharmacy,3,3.4483,200.0,200.0
amenity,atm,2,2.2989,100.0,100.0
amenity,police,2,2.2989,100.0,100.0
amenity,shelter,2,2.2989,100.0,100.0
amenity,bar,1,1.1494,0.0,0.0
amenity,car_wash,1,1.1494,0.0,0.0
amenity,fast_food,1,1.1494,0.0,0.0
amenity,research_institute,1,1.1494,0.0,0.0
amenity,taxi,1,1.1494,0.0,0.0
amenity,toilets,1,1.1494,0.0,0.0
amenity,university,1,1.1494,0.0,0.0
building,yes,275,84.8765,27400.0,27400.0
building,house,18,5.5556,1700.0,1700.0
building,roof,14,4.321,1300.0,1300.0
building,hut,7,2.1605,600.0,600.0
building,hotel,4,1.2346,300.0,300.0
building,cowshed,2,0.6173,100.0,100.0
building,retail,2,0.6173,100.0,100.0
building,cabin,1,0.3086,0.0,0.0
building,mosque,1,0.3086,0.0,0.0
highway,residential,1041,52.3905,104000.0,104000.0
highway,path,213,10.7197,21200.0,21200.0
highway,unclassified,182,9.1595,18100.0,18100.0
highway,track,174,8.7569,17300.0,17300.0
highway,service,163,8.2033,16200.0,16200.0
highway,tertiary,51,2.5667,5000.0,5000.0
highway,primary,50,2.5164,4900.0,4900.0
highway,secondary,29,1.4595,2800.0,2800.0
highway,construction,20,1.0065,1900.0,1900.0
highway,footway,17,0.8556,1600.0,1600.0
highway,living_street,9,0.4529,800.0,800.0
highway,trunk,9,0.4529,800.0,800.0
highway,crossing,7,0.3523,600.0,600.0
highway,pedestrian,6,0.302,500.0,500.0
highway,steps,5,0.2516,400.0,400.0
highway,turning_circle,4,0.2013,300.0,300.0
highway,trunk_link,3,0.151,200.0,200.0
highway,tertiary_link,2,0.1007,100.0,100.0
highway,primary_link,1,0.0503,0.0,0.0
highway,turning_loop,1,0.0503,0.0,0.0
landuse,orchard,167,49.5549,16600.0,16600.0
landuse,residential,82,24.3323,8100.0,8100.0
landuse,farmland,62,18.3976,6100.0,6100.0
landuse,construction,7,2.0772,600.0,600.0
landuse,forest,7,2.0772,600.0,600.0
landuse,reservoir,5,1.4837,400.0,400.0
landuse,greenhouse_horticulture,3,0.8902,200.0,200.0
landuse,grass,1,0.2967,0.0,0.0
landuse,greenfield,1,0.2967,0.0,0.0
landuse,industrial,1,0.2967,0.0,0.0
landuse,vineyard,1,0.2967,0.0,0.0
leisure,garden,12,44.4444,1100.0,1100.0
leisure,pitch,5,18.5185,400.0,400.0
leisure,track,3,11.1111,200.0,200.0
leisure,golf_course,2,7.4074,100.0,100.0
leisure,sports_centre,2,7.4074,100.0,100.0
leisure,park,1,3.7037,0.0,0.0
leisure,resort,1,3.7037,0.0,0.0
leisure,swimming_pool,1,3.7037,0.0,0.0
name,Arumd-Sidi Chamarouch-CAF Refuge,12,4.5113,1100.0,1100.0
name,Avenue Guemassa,11,4.1353,1000.0,1000.0
name,chemin verso il M. Tinergwet,10,3.7594,900.0,900.0
name,Avenue Essaouira طريق الصويرة,9,3.3835,800.0,800.0
name,chemin vers m Awlin 3370m,8,3.0075,700.0,700.0
name,طريق أوريكا,8,3.0075,700.0,700.0
name,percorso fuori sentiero,7,2.6316,600.0,600.0
name,Refuge CAF du Toubkal,6,2.2556,500.0,500.0
name,Total طوطال,6,2.2556,500.0,500.0
name,chemin hors sentiers vers m Tinergwet,6,2.2556,500.0,500.0
name,Aman Oulili,5,1.8797,400.0,400.0
name,Refuge Tamsoult,5,1.8797,400.0,400.0
name,azib,5,1.8797,400.0,400.0
name,Hotel Solei Imlil,4,1.5038,300.0,300.0
name,Shell شل,4,1.5038,300.0,300.0
name,cascade,4,1.5038,300.0,300.0
name,Azib Awlin,3,1.1278,200.0,200.0
name,Gite Tizi Oussem,3,1.1278,200.0,200.0
name,Route du Barrage,3,1.1278,200.0,200.0
name,chemin hors sentiers vers m Aouline,3,1.1278,200.0,200.0
name,lac,3,1.1278,200.0,200.0
name,paroi rocheuse,3,1.1278,200.0,200.0
name,verso M. Awlin 3370m,3,1.1278,200.0,200.0
name,Amazigh Familly Riad,2,0.7519,100.0,100.0
name,Assif n'Ouissadene,2,0.7519,100.0,100.0
name,Banque populaire,2,0.7519,100.0,100.0
name,Be Agafay Hideaway Camp,2,0.7519,100.0,100.0
name,CAF Refuge Lepiney,2,0.7519,100.0,100.0
name,Camping Auberge Atlas Toubkal,2,0.7519,100.0,100.0
name,Dar Amadine,2,0.7519,100.0,100.0
name,Hippodrome De Marrakech,2,0.7519,100.0,100.0
name,Jbel Awlim,2,0.7519,100.0,100.0
name,RP 2012 Marrakech-Sidi Ghiate-Tamazouzte,2,0.7519,100.0,100.0
name,colle 3445m,2,0.7519,100.0,100.0
name,no chemin. escalade facile,2,0.7519,100.0,100.0
name,verso M Awlin,2,0.7519,100.0,100.0
name,verso M Awlin 3370m,2,0.7519,100.0,100.0
