key,value,count,percent_of_total_changes_for_key
amenity,parking,190,16.3652
amenity,bicycle_parking,128,11.025
amenity,bench,84,7.2351
amenity,restaurant,81,6.9767
amenity,recycling,66,5.6848
amenity,waste_basket,59,5.0818
amenity,cafe,54,4.6512
amenity,bar,50,4.3066
amenity,shelter,49,4.2205
amenity,bank,25,2.1533
amenity,place_of_worship,24,2.0672
amenity,pharmacy,22,1.8949
amenity,ice_cream,21,1.8088
amenity,fast_food,19,1.6365
amenity,fuel,19,1.6365
amenity,motorcycle_parking,19,1.6365
amenity,drinking_water,17,1.4643
amenity,school,16,1.3781
amenity,vending_machine,16,1.3781
amenity,waste_disposal,15,1.292
amenity,parking_entrance,13,1.1197
amenity,library,11,0.9475
amenity,toilets,11,0.9475
amenity,post_box,10,0.8613
amenity,atm,9,0.7752
amenity,fountain,9,0.7752
amenity,hospital,8,0.6891
amenity,university,8,0.6891
amenity,dentist,7,0.6029
amenity,bicycle_rental,6,0.5168
amenity,bicycle_repair_station,6,0.5168
amenity,charging_station,6,0.5168
amenity,music_school,6,0.5168
amenity,childcare,5,0.4307
amenity,post_office,5,0.4307
amenity,telephone,5,0.4307
amenity,veterinary,5,0.4307
amenity,car_wash,4,0.3445
amenity,clock,4,0.3445
amenity,police,4,0.3445
amenity,townhall,4,0.3445
amenity,hunting_stand,3,0.2584
amenity,pub,3,0.2584
amenity,taxi,3,0.2584
amenity,theatre,3,0.2584
amenity,arts_centre,2,0.1723
amenity,bus_station,2,0.1723
amenity,community_centre,2,0.1723
amenity,driving_school,2,0.1723
amenity,kindergarten,2,0.1723
amenity,marketplace,2,0.1723
amenity,parcel_locker,2,0.1723
amenity,photo_booth,2,0.1723
amenity,research_institute,2,0.1723
amenity,animal_training,1,0.0861
amenity,bureau_de_change,1,0.0861
amenity,car_sharing,1,0.0861
amenity,cinema,1,0.0861
amenity,grave_yard,1,0.0861
amenity,luggage_storage,1,0.0861
amenity,monastery,1,0.0861
amenity,prison,1,0.0861
amenity,shower,1,0.0861
amenity,waste=trash;cigarettes,1,0.0861
amenity,weighbridge,1,0.0861
building,yes,4068,88.3004
building,apartments,205,4.4498
building,industrial,63,1.3675
building,roof,43,0.9334
building,church,33,0.7163
building,retail,20,0.4341
building,greenhouse,19,0.4124
building,hospital,18,0.3907
building,school,17,0.369
building,residential,14,0.3039
building,house,12,0.2605
building,detached,11,0.2388
building,semidetached_house,9,0.1954
building,office,8,0.1736
building,university,7,0.1519
building,construction,6,0.1302
building,garage,6,0.1302
building,hotel,5,0.1085
building,garages,4,0.0868
building,bridge,3,0.0651
building,commercial,3,0.0651
building,farm,3,0.0651
building,public,3,0.0651
building,service,3,0.0651
building,hut,2,0.0434
building,kindergarten,2,0.0434
building,train_station,2,0.0434
building,transformer_tower,2,0.0434
building,arch,1,0.0217
building,chapel,1,0.0217
building,civic,1,0.0217
building,elevator,1,0.0217
building,kiosk,1,0.0217
building,no,1,0.0217
building,parking,1,0.0217
building,pavilion,1,0.0217
building,ruins,1,0.0217
building,shed,1,0.0217
building,tent,1,0.0217
building,terrace,1,0.0217
building,tower,1,0.0217
building,transportation,1,0.0217
building,villa,1,0.0217
building,warehouse,1,0.0217
highway,footway,2018,25.1527
highway,service,1381,17.213
highway,residential,842,10.4948
highway,crossing,466,5.8083
highway,unclassified,443,5.5216
highway,cycleway,419,5.2225
highway,tertiary,347,4.3251
highway,track,284,3.5398
highway,pedestrian,273,3.4027
highway,primary,235,2.9291
highway,steps,227,2.8294
highway,platform,205,2.5552
highway,secondary,177,2.2062
highway,bus_stop,162,2.0192
highway,path,153,1.907
highway,traffic_signals,153,1.907
highway,street_lamp,33,0.4113
highway,give_way,26,0.3241
highway,construction,25,0.3116
highway,elevator,24,0.2991
highway,trunk_link,24,0.2991
highway,living_street,22,0.2742
highway,motorway_link,14,0.1745
highway,tertiary_link,12,0.1496
highway,stop,11,0.1371
highway,speed_camera,10,0.1246
highway,trunk,8,0.0997
highway,corridor,6,0.0748
highway,primary_link,5,0.0623
highway,motorway_junction,4,0.0499
highway,secondary_link,4,0.0499
highway,mini_roundabout,3,0.0374
highway,busway,2,0.0249
highway,turning_loop,2,0.0249
highway,traffic_mirror,1,0.0125
highway,trailhead,1,0.0125
highway,turning_circle,1,0.0125
landuse,grass,522,45.1948
landuse,reservoir,325,28.1385
landuse,farmland,93,8.0519
landuse,residential,83,7.1861
landuse,meadow,16,1.3853
landuse,retail,16,1.3853
landuse,industrial,15,1.2987
landuse,orchard,14,1.2121
landuse,vineyard,13,1.1255
landuse,forest,9,0.7792
landuse,construction,8,0.6926
landuse,military,7,0.6061
