key,count,percent_of_total_changes,percent_difference_from_pre
natural,9400,10.0304,85.0758
highway,8023,8.5611,-84.016
building,4607,4.916,-17.2296
name,4400,4.6951,-87.5372
source,3396,3.6238,-62.3712
surface,3087,3.294,-86.3165
addr:street,1940,2.0701,-66.7295
addr:housenumber,1886,2.0125,-66.3395
addr:city,1812,1.9335,-65.6167
oneway,1650,1.7607,-87.0548
lit,1637,1.7468,-75.8412
leaf_type,1620,1.7286,-6.95
genus,1615,1.7233,23.4709
species,1596,1.703,23.1481
species:it,1590,1.6966,46.2741
genus:it,1567,1.6721,47.413
addr:postcode,1501,1.6017,-55.6966
addr:country,1204,1.2847,48.0935
addr:district,1191,1.2709,155.5794
amenity,1161,1.2389,-83.2829
landuse,1155,1.2325,-40.9207
footway,1147,1.2239,-74.0027
barrier,1094,1.1674,-22.3011
crossing,1061,1.1322,-83.5682
bicycle,878,0.9369,-82.056
tactile_paving,844,0.9006,-71.876
service,843,0.8995,-74.2831
maxspeed,775,0.827,-89.1699
layer,764,0.8152,-74.3452
ref,742,0.7918,-91.9066
crossing:markings,724,0.7726,97.2752
access,632,0.6744,-75.7762
foot,591,0.6306,-84.7089
covered,561,0.5986,-38.8222
crossing:island,547,0.5837,-60.6192
public_transport,547,0.5837,-91.2424
lanes,539,0.5751,-90.5521
tunnel,511,0.5453,-38.285
shop,457,0.4876,-73.6448
power,455,0.4855,-40.9091
bus,402,0.429,-93.6653
network,382,0.4076,-93.2876
level,361,0.3852,-5.9896
water,350,0.3735,72.4138
zone:maxspeed,338,0.3607,-50.0
railway,299,0.3191,-87.3946
leisure,289,0.3084,-76.0563
area,282,0.3009,-8.4416
operator,277,0.2956,-92.4871
segregated,254,0.271,-83.4095
shelter,242,0.2582,-80.8393
horse,237,0.2529,-26.6254
waterway,236,0.2518,-75.2101
incline,228,0.2433,-53.8462
motor_vehicle,208,0.2219,-61.8349
phone,208,0.2219,-87.0968
bench,207,0.2209,-83.5191
network:wikidata,201,0.2145,-94.4582
wheelchair,189,0.2017,-83.8046
cycleway:both,184,0.1963,-88.4784
wikidata,172,0.1835,-75.8427
brand,169,0.1803,-82.86
opening_hours,169,0.1803,-87.2932
sidewalk,169,0.1803,-91.7881
website,163,0.1739,-88.7741
name:etymology:wikidata,159,0.1697,-95.2805
name:it,158,0.1686,-6.5089
cycleway,157,0.1675,-81.2201
indoor,156,0.1665,38.0531
brand:wikidata,155,0.1654,-82.545
junction,142,0.1515,-90.0421
building:levels,135,0.1441,-79.2308
bin,131,0.1398,-81.3124
network:wikipedia,128,0.1366,-93.9163
bridge,123,0.1312,-90.4946
fee,122,0.1302,-82.9609
width,119,0.127,-77.8399
capacity,117,0.1248,-76.1224
train,117,0.1248,172.093
old_ref,116,0.1238,-92.277
handrail,113,0.1206,-46.1905
ref:corine_land_cover,111,0.1184,-63.4868
bicycle_parking,110,0.1174,-60.0
cycleway:right,110,0.1174,-93.6416
gauge,109,0.1163,-94.2541
trolleybus,107,0.1142,-90.556
parking,106,0.1131,-89.7187
traffic_calming,101,0.1078,-50.0
trolley_wire,98,0.1046,-89.313
voltage,97,0.1035,-92.8148
place,95,0.1014,-69.5513
tourism,94,0.1003,-84.0136
smoothness,93,0.0992,-96.0459
alt_name,92,0.0982,-86.3095
electrified,92,0.0982,-93.0983
sport,86,0.0918,-75.2874
wikipedia,86,0.0918,-68.7273
frequency,85,0.0907,-93.1672
maxspeed:type,84,0.0896,-94.5736
cycleway:left,82,0.0875,-85.5379
ramp,82,0.0875,-42.6573
trolley_wire:both,82,0.0875,-85.3047
boundary,79,0.0843,-46.9799
button_operated,78,0.0832,-55.1724
railway:scmt,77,0.0822,-93.7702
backrest,76,0.0811,-61.809
lane_markings,76,0.0811,-91.1422
traffic_signals:sound,76,0.0811,-59.7884
usage,69,0.0736,-93.958
trolley_wire:forward,68,0.0726,-87.384
cuisine,66,0.0704,-85.4945
recycling_type,66,0.0704,-76.259
traffic_signals:direction,66,0.0704,-78.5016
entrance,65,0.0694,-73.8956
man_made,65,0.0694,-90.413
oneway:bicycle,63,0.0672,-71.2329
historic,62,0.0662,-80.6854
material,62,0.0662,-72.9258
railway:traffic_mode,60,0.064,-89.0511
plant:method,59,0.063,37.2093
plant:output:electricity,59,0.063,43.9024
plant:source,59,0.063,20.4082
check_date,58,0.0619,-81.9876
source:maxspeed,55,0.0587,-94.8064
loc_ref,54,0.0576,-93.4466
colour,50,0.0534,-68.9441
shelter_type,49,0.0523,-76.7773
source:name:etymology,49,0.0523,-94.5312
conveying,48,0.0512,2300.0
traffic_signals:vibration,48,0.0512,-45.4545
email,47,0.0502,-91.6519
building:part,46,0.0491,-78.7037
lanes:forward,44,0.047,-90.7173
step_count,44,0.047,-25.4237
cycleway:surface,43,0.0459,-81.5451
rer_edi_id:ref,43,0.0459,-91.1885
operator:wikidata,42,0.0448,-89.7561
heritage,41,0.0437,192.8571
