key,count,percent_of_total_changes,percent_difference_from_pre,percent_difference_from_pre_day
highway,63778,12.9762,26.1008,26.1008
name,46938,9.55,31.5232,31.5232
natural,34486,7.0165,576.1961,576.1961
surface,33933,6.904,49.4188,49.4188
leaf_type,23809,4.8442,1267.5474,1267.5474
genus,22670,4.6124,1631.8564,1631.8564
species,22448,4.5673,1630.7633,1630.7633
species:it,21967,4.4694,1920.8832,1920.8832
genus:it,21483,4.3709,1920.9784,1920.9784
oneway,18285,3.7203,42.3289,42.3289
maxspeed,18092,3.681,148.4824,148.4824
source,15618,3.1776,70.2605,70.2605
addr:street,14668,2.9843,150.1791,150.1791
addr:housenumber,14364,2.9225,154.9521,154.9521
addr:city,12522,2.5477,136.2642,136.2642
lit,12042,2.4501,76.5689,76.5689
amenity,11420,2.3235,63.6572,63.6572
leaf_cycle,10826,2.2027,1570.679,1570.679
species:wikidata,10787,2.1947,6477.439,6477.439
lanes,9910,2.0163,71.5126,71.5126
building,9877,2.0096,77.0389,77.0389
addr:postcode,9065,1.8444,165.7578,165.7578
source:maxspeed,7516,1.5292,605.7277,605.7277
bicycle,6726,1.3685,36.8186,36.8186
ref,6685,1.3601,-28.1569,-28.1569
addr:country,5955,1.2116,620.0726,620.0726
service,5605,1.1404,70.5202,70.5202
crossing,5565,1.1323,-14.3978,-14.3978
landuse,5477,1.1143,177.0359,177.0359
addr:district,5177,1.0533,994.5032,994.5032
barrier,5136,1.045,260.9276,260.9276
foot,5005,1.0183,28.7957,28.7957
operator,4462,0.9078,18.7966,18.7966
footway,4404,0.896,-0.2039,-0.2039
layer,4222,0.859,41.0154,41.0154
access,4179,0.8503,59.2,59.2
cycleway:right,4125,0.8393,138.4393,138.4393
public_transport,3794,0.7719,-39.9018,-39.9018
tactile_paving,3692,0.7512,22.3327,22.3327
name:etymology:wikidata,3691,0.751,9.5577,9.5577
bus,3044,0.6193,-52.4375,-52.4375
crossing:markings,3021,0.6147,723.1608,723.1608
shop,2940,0.5982,68.9655,68.9655
sidewalk,2916,0.5933,39.9232,39.9232
cycleway:both,2853,0.5805,77.5358,77.5358
network,2813,0.5723,-50.9503,-50.9503
smoothness,2683,0.5459,13.3981,13.3981
website,2651,0.5394,81.3269,81.3269
junction,2453,0.4991,71.4186,71.4186
taxon,2313,0.4706,8160.7143,8160.7143
waterway,2287,0.4653,129.1583,129.1583
railway,2251,0.458,-8.977,-8.977
phone,2187,0.445,35.1669,35.1669
trolley_wire,2154,0.4383,133.1169,133.1169
crossing:island,2068,0.4208,47.2934,47.2934
old_ref,2056,0.4183,36.2492,36.2492
leisure,2047,0.4165,69.1736,69.1736
wikidata,2028,0.4126,173.3154,173.3154
wheelchair,1997,0.4063,70.3925,70.3925
segregated,1937,0.3941,25.6976,25.6976
check_date,1916,0.3898,485.9327,485.9327
tunnel,1909,0.3884,127.8043,127.8043
