key,count,percent_of_total_changes,percent_difference_from_pre,percent_difference_from_pre_day
source,116261,8.1623,148952.5641,1813372.8632
highway,75901,5.3288,13405.516,164217.1115
building,32729,2.2978,3272800.0,39820183.3333
name,17570,1.2335,8773.7374,107863.8047
waterway,10503,0.7374,1050200.0,12778550.0
earthquake:damage,10284,0.722,1028300.0,12512100.0
haiti:source,10119,0.7104,2975.6839,37320.8207
haiti:source_file,10113,0.71,2973.8602,37298.6322
haiti:code,10110,0.7098,2972.9483,37287.538
haiti:objectid,10109,0.7097,2972.6444,37283.8399
haiti:import_file,10103,0.7093,2970.8207,37261.6515
haiti:type,10078,0.7075,2963.2219,37169.1996
haiti:nom,10073,0.7072,2961.7021,37150.7092
haiti:nom2,10071,0.7071,2961.0942,37143.3131
landuse,7615,0.5346,253733.3333,3088205.5556
boundary,6998,0.4913,699700.0,8514133.3333
source:imagery,6510,0.457,650900.0,7920400.0
natural,5221,0.3665,34706.6667,423381.1111
admin_level,5141,0.3609,514000.0,6254783.3333
FIXME,4953,0.3477,495200.0,6026050.0
fixme:building,4289,0.3011,428800.0,5218183.3333
tourism,4212,0.2957,105200.0,1281050.0
refugee,4188,0.294,418700.0,5095300.0
place,3189,0.2239,7316.2791,90131.3953
population,2640,0.1853,65900.0,802900.0
id_commune,1887,0.1325,188600.0,2295750.0
amenity,1848,0.1297,6060.0,74846.6667
source:name,1830,0.1285,91400.0,1113150.0
ref,1815,0.1274,36200.0,441550.0
surface,1801,0.1264,25628.5714,312930.9524
layer,1720,0.1208,85900.0,1046233.3333
border_type,1676,0.1177,167500.0,2039033.3333
ele,1428,0.1003,5392.3077,66723.0769
bridge,1322,0.0928,132100.0,1608333.3333
boat,1309,0.0919,130800.0,1592516.6667
pcode,1231,0.0864,123000.0,1497616.6667
health_facility:department,1224,0.0859,122300.0,1489100.0
health_facility:commune,1222,0.0858,122100.0,1486666.6667
health_facility:commune_id,1222,0.0858,122100.0,1486666.6667
health_facility:paho_id,1222,0.0858,122100.0,1486666.6667
attribute_source_type,1218,0.0855,121700.0,1481800.0
geometry_source_type,1218,0.0855,121700.0,1481800.0
source:health_facility,1171,0.0822,117000.0,1424616.6667
area,1047,0.0735,10370.0,127285.0
barrier,1025,0.072,51150.0,623441.6667
note,824,0.0579,20500.0,250533.3333
health_facility_type,820,0.0576,81900.0,997566.6667
service,730,0.0513,72900.0,888066.6667
attribution,694,0.0487,69300.0,844266.6667
copythis,648,0.0455,10700.0,131300.0
power,633,0.0444,63200.0,770050.0
oneway,619,0.0435,2479.1667,31279.8611
fixme,611,0.0429,15175.0,185745.8333
name_old,610,0.0428,60900.0,742066.6667
pcode_2,609,0.0428,60800.0,740850.0
pcode_3,609,0.0428,60800.0,740850.0
health_facility:organisation,387,0.0272,38600.0,470750.0
earthquake_damage,375,0.0263,37400.0,456150.0
leisure,327,0.023,10800.0,132516.6667
