key,count,percent_of_total_changes,percent_difference_from_pre,percent_difference_from_pre_day
source,68270,23.8713,92156.7568,92156.7568
name,53942,18.8614,27281.7259,27281.7259
attribute_source_date,51923,18.1554,5192200.0,5192200.0
attribute_source_type,49591,17.34,4959000.0,4959000.0
highway,47373,16.5644,8359.4643,8359.4643
geometry_source_type,45431,15.8854,4543000.0,4543000.0
geometry_source_date,45238,15.8179,4523700.0,4523700.0
operational_status,30781,10.7629,3078000.0,3078000.0
SurfaceCondition,30277,10.5867,3027600.0,3027600.0
operational_status_quality,29141,10.1894,2914000.0,2914000.0
Surface,27752,9.7038,2775100.0,2775100.0
Practicability,26625,9.3097,2662400.0,2662400.0
Operational_status,23323,8.1551,2332200.0,2332200.0
Operational_status_quality,20657,7.2229,2065600.0,2065600.0
amenity,15307,5.3522,50923.3333,50923.3333
Geometry_source_type,13309,4.6536,1330800.0,1330800.0
practicability,13215,4.6208,1321400.0,1321400.0
Geometry_source_date,12272,4.291,1227100.0,1227100.0
surface,11055,3.8655,157828.5714,157828.5714
operator_type,10324,3.6099,1032300.0,1032300.0
building,9925,3.4704,992400.0,992400.0
Attribute_source_date,9268,3.2407,926700.0,926700.0
Attribute_source_type,9256,3.2365,925500.0,925500.0
Source,7802,2.728,780100.0,780100.0
addr:country,7795,2.7256,155800.0,155800.0
surface_condition,7247,2.534,724600.0,724600.0
addr:city,5946,2.0791,198100.0,198100.0
addr:street,5920,2.07,147900.0,147900.0
type,3045,1.0647,50650.0,50650.0
scolar_type,3021,1.0563,302000.0,302000.0
scolar_district,2824,0.9874,282300.0,282300.0
id:ssid,2782,0.9728,278100.0,278100.0
commune,2774,0.97,277300.0,277300.0
website,2772,0.9693,277100.0,277100.0
natural,2746,0.9602,30411.1111,30411.1111
households,2743,0.9591,274200.0,274200.0
sectional,2741,0.9584,274000.0,274000.0
phone,2733,0.9556,273200.0,273200.0
attribute_source_name,2728,0.9539,272700.0,272700.0
operator,2714,0.949,45133.3333,45133.3333
power_source,2694,0.942,269300.0,269300.0
landuse,2587,0.9046,86133.3333,86133.3333
contact_person,2465,0.8619,246400.0,246400.0
geometry_source_name,2104,0.7357,210300.0,210300.0
damage_status,2007,0.7018,200600.0,200600.0
Date,1980,0.6923,197900.0,197900.0
shop,1880,0.6574,187900.0,187900.0
gender_access,1586,0.5546,158500.0,158500.0
disability_access,1531,0.5353,153000.0,153000.0
water_type,1478,0.5168,147700.0,147700.0
source:health_facility,1434,0.5014,143300.0,143300.0
camp,1430,0.5,142900.0,142900.0
pcode,1426,0.4986,142500.0,142500.0
paho:department,1412,0.4937,141100.0,141100.0
paho:commune,1411,0.4934,141000.0,141000.0
paho:district_id,1411,0.4934,141000.0,141000.0
