period1,period2,key,kendall_rank_correlation,kendall_p_value,cosine_similarity,pearson_correlation,pearson_p_value
pre,post,building,0.8333,0.0008543,0.9994,0.9993,2.5014233480277905e-11
pre,post,highway,0.6581,0.0018254,0.8862,0.8052,0.0008958024750177911
pre,post,source,0.8,0.0833333,0.7297,0.4922,0.3996263326115933
pre,post,name,0.3333,1.0,0.9584,0.8838,0.30996592951250446
pre,post,surface,0.7871,0.0001926,0.9353,0.9229,6.944124239163393e-06
pre,post,amenity,0.7143,0.0301587,0.8631,0.7367,0.058958453098128215
pre,post,landuse,0.6973,0.0030043,0.8015,0.7555,0.0071671652871850835
pre,post,waterway,0.8571,0.0017361,0.9527,0.9529,0.0002513362368068059
pre,post,natural,0.3792,0.074838,0.4818,0.1687,0.5817685477609155
pre,post,leisure,0.3704,0.2090407,0.3697,0.063,0.8821679742698701
pre,post,emergency,-1.0,1.0,0.1473,-1.0,1.0
