key,value,count,percent_of_total_changes_for_key,percent_difference_from_pre,percent_difference_from_pre_day
amenity,drinking_water,2313,79.321,231200.0,2814050.0
amenity,school,304,10.4252,30300.0,369766.6667
amenity,hospital,135,4.6296,13400.0,164150.0
amenity,place_of_worship,66,2.2634,6500.0,80200.0
amenity,toilets,13,0.4458,1200.0,15716.6667
amenity,social_centre,8,0.2743,700.0,9633.3333
amenity,community_centre,7,0.2401,600.0,8416.6667
amenity,marketplace,7,0.2401,600.0,8416.6667
amenity,kindergarten,5,0.1715,400.0,5983.3333
amenity,police,5,0.1715,400.0,5983.3333
amenity,shelter,5,0.1715,400.0,5983.3333
amenity,public_building,4,0.1372,300.0,4766.6667
amenity,townhall,4,0.1372,300.0,4766.6667
amenity,embassy,3,0.1029,200.0,3550.0
amenity,fuel,3,0.1029,200.0,3550.0
amenity,grave_yard,3,0.1029,200.0,3550.0
amenity,shower,3,0.1029,200.0,3550.0
amenity,studio,3,0.1029,200.0,3550.0
amenity,arts_centre,2,0.0686,100.0,2333.3333
amenity,bar,2,0.0686,100.0,2333.3333
amenity,camp_site,2,0.0686,100.0,2333.3333
amenity,clinic,2,0.0686,100.0,2333.3333
amenity,courthouse,2,0.0686,100.0,2333.3333
amenity,nightclub,2,0.0686,100.0,2333.3333
amenity,pawnbroker,2,0.0686,100.0,2333.3333
amenity,restaurant,2,0.0686,100.0,2333.3333
amenity,bus_station,1,0.0343,0.0,1116.6667
amenity,dentist,1,0.0343,0.0,1116.6667
amenity,fountain,1,0.0343,0.0,1116.6667
amenity,parking,1,0.0343,0.0,1116.6667
amenity,pharmacy,1,0.0343,0.0,1116.6667
amenity,social_facility,1,0.0343,0.0,1116.6667
amenity,telephone,1,0.0343,0.0,1116.6667
amenity,theatre,1,0.0343,0.0,1116.6667
amenity,university,1,0.0343,0.0,1116.6667
building,yes,208751,99.028,20875000.0,253980283.3333
building,house,1309,0.621,130800.0,1592516.6667
building,residential,254,0.1205,25300.0,308933.3333
building,construction,181,0.0859,18000.0,220116.6667
building,shed,78,0.037,7700.0,94800.0
building,apartments,43,0.0204,4200.0,52216.6667
building,industrial,37,0.0176,3600.0,44916.6667
building,hut,33,0.0157,3200.0,40050.0
building,commercial,20,0.0095,1900.0,24233.3333
building,residentiel1,14,0.0066,1300.0,16933.3333
building,school,10,0.0047,900.0,12066.6667
building,retail,9,0.0043,800.0,10850.0
building,building_concrete,7,0.0033,600.0,8416.6667
building,church,7,0.0033,600.0,8416.6667
building,collapsed,7,0.0033,600.0,8416.6667
building,building,4,0.0019,300.0,4766.6667
building,building_wood,4,0.0019,300.0,4766.6667
building,greenhouse,4,0.0019,300.0,4766.6667
building,hospital,4,0.0019,300.0,4766.6667
building,public,3,0.0014,200.0,3550.0
building,stable,3,0.0014,200.0,3550.0
building,warehouse,3,0.0014,200.0,3550.0
building,Not Square,2,0.0009,100.0,2333.3333
building,constructions,2,0.0009,100.0,2333.3333
building,garage,2,0.0009,100.0,2333.3333
building,service,2,0.0009,100.0,2333.3333
building,Maison prive,1,0.0005,0.0,1116.6667
building,building_reinforced_concrete,1,0.0005,0.0,1116.6667
building,cathedral,1,0.0005,0.0,1116.6667
building,office,1,0.0005,0.0,1116.6667
building,roof,1,0.0005,0.0,1116.6667
building,satic_caravan,1,0.0005,0.0,1116.6667
building,services,1,0.0005,0.0,1116.6667
emergency,no,2,50.0,100.0,2333.3333
emergency,yes,2,50.0,100.0,2333.3333
highway,unclassified,5453,25.2197,545200.0,6634383.3333
highway,track,5442,25.1688,544100.0,6621000.0
highway,residential,3513,16.2473,351200.0,4274050.0
highway,path,2752,12.7278,275100.0,3348166.6667
highway,road,2397,11.0859,239600.0,2916250.0
highway,primary,489,2.2616,48800.0,594850.0
highway,tertiary,439,2.0303,43800.0,534016.6667
highway,footway,390,1.8037,38900.0,474400.0
highway,secondary,376,1.739,37500.0,457366.6667
highway,service,288,1.332,28700.0,350300.0
highway,crossing,25,0.1156,2400.0,30316.6667
highway,pedestrian,23,0.1064,2200.0,27883.3333
highway,street_lamp,7,0.0324,600.0,8416.6667
highway,trunk,5,0.0231,400.0,5983.3333
highway,living_street,4,0.0185,300.0,4766.6667
highway,turning_circle,4,0.0185,300.0,4766.6667
highway,secondary_link,3,0.0139,200.0,3550.0
highway,tertiary_link,3,0.0139,200.0,3550.0
highway,motorway,2,0.0092,100.0,2333.3333
highway,steps,2,0.0092,100.0,2333.3333
highway,bridleway,1,0.0046,0.0,1116.6667
highway,construction,1,0.0046,0.0,1116.6667
highway,mini_roundabout,1,0.0046,0.0,1116.6667
highway,primary_link,1,0.0046,0.0,1116.6667
highway,trunk_link,1,0.0046,0.0,1116.6667
landuse,residential,1230,73.0838,122900.0,1496400.0
landuse,forest,258,15.3298,25700.0,313800.0
landuse,farmland,67,3.981,6600.0,81416.6667
landuse,salt_pond,29,1.7231,2800.0,35183.3333
landuse,farmyard,26,1.5449,2500.0,31533.3333
landuse,cemetery,25,1.4854,2400.0,30316.6667
landuse,industrial,8,0.4753,700.0,9633.3333
landuse,commercial,7,0.4159,600.0,8416.6667
landuse,meadow,7,0.4159,600.0,8416.6667
landuse,construction,6,0.3565,500.0,7200.0
landuse,reservoir,3,0.1783,200.0,3550.0
landuse,retail,3,0.1783,200.0,3550.0
landuse,military,2,0.1188,100.0,2333.3333
landuse,quarry,2,0.1188,100.0,2333.3333
landuse,recreation_ground,2,0.1188,100.0,2333.3333
landuse,village_green,2,0.1188,100.0,2333.3333
landuse,area,1,0.0594,0.0,1116.6667
landuse,basin,1,0.0594,0.0,1116.6667
landuse,field,1,0.0594,0.0,1116.6667
landuse,grave_yard,1,0.0594,0.0,1116.6667
landuse,harbour,1,0.0594,0.0,1116.6667
landuse,school,1,0.0594,0.0,1116.6667
leisure,park,62,66.6667,6100.0,75333.3333
leisure,pitch,12,12.9032,1100.0,14500.0
leisure,common,8,8.6022,700.0,9633.3333
leisure,slipway,7,7.5269,600.0,8416.6667
leisure,swimming_pool,2,2.1505,100.0,2333.3333
leisure,garden,1,1.0753,0.0,1116.6667
leisure,recreation_ground,1,1.0753,0.0,1116.6667
name,Route Nationale # 1,155,4.68,15400.0,188483.3333
name,building,120,3.6232,11900.0,145900.0
name,#uvmMapping,81,2.4457,8000.0,98450.0
name,house,58,1.7512,5700.0,70466.6667
name,Route Nationale # 2,43,1.2983,4200.0,52216.6667
