key,value,count,percent_of_total_changes_for_key
amenity,school,283,26.7992
amenity,place_of_worship,151,14.2992
amenity,hospital,65,6.1553
amenity,restaurant,58,5.4924
amenity,police,44,4.1667
amenity,studio,44,4.1667
amenity,drinking_water,35,3.3144
amenity,bank,32,3.0303
amenity,pharmacy,27,2.5568
amenity,fuel,24,2.2727
amenity,bar,23,2.178
amenity,college,22,2.0833
amenity,parking,18,1.7045
amenity,community_centre,15,1.4205
amenity,cafe,14,1.3258
amenity,university,14,1.3258
amenity,kindergarten,13,1.2311
amenity,toilets,11,1.0417
amenity,clinic,10,0.947
amenity,townhall,10,0.947
amenity,bureau_de_change,9,0.8523
amenity,marketplace,9,0.8523
amenity,gambling,8,0.7576
amenity,waste_disposal,8,0.7576
amenity,social_facility,7,0.6629
amenity,water_point,7,0.6629
amenity,bus_station,6,0.5682
amenity,fountain,6,0.5682
amenity,embassy,5,0.4735
amenity,fast_food,5,0.4735
amenity,nightclub,5,0.4735
amenity,scrapyard,5,0.4735
amenity,shelter,5,0.4735
amenity,atm,4,0.3788
amenity,grave_yard,4,0.3788
amenity,social_centre,4,0.3788
amenity,arts_centre,3,0.2841
amenity,cyber_cafe,3,0.2841
amenity,internet_cafe,3,0.2841
amenity,library,3,0.2841
amenity,childcare,2,0.1894
amenity,courthouse,2,0.1894
amenity,food_court,2,0.1894
amenity,market,2,0.1894
amenity,shower,2,0.1894
amenity,telephone,2,0.1894
amenity,Bed and Resto,1,0.0947
amenity,Hotel et restaurant,1,0.0947
amenity,Refugee_Camp,1,0.0947
amenity,Restaurant,1,0.0947
amenity,art_atelier,1,0.0947
amenity,baby_hatch,1,0.0947
amenity,bandstand,1,0.0947
amenity,car_rental,1,0.0947
amenity,casino,1,0.0947
amenity,cinema,1,0.0947
amenity,doctors,1,0.0947
amenity,driving_school,1,0.0947
amenity,nursing_home,1,0.0947
amenity,point d eau,1,0.0947
amenity,post_office,1,0.0947
amenity,prison,1,0.0947
amenity,pub,1,0.0947
amenity,public_building,1,0.0947
amenity,recycling,1,0.0947
amenity,shop soudure,1,0.0947
amenity,terrain,1,0.0947
amenity,veterinary,1,0.0947
building,yes,93498,95.8335
building,residential,2512,2.5747
building,construction,723,0.7411
building,house,425,0.4356
building,commercial,85,0.0871
building,school,72,0.0738
building,church,43,0.0441
building,residentiel1,25,0.0256
building,roof,18,0.0184
building,industrial,17,0.0174
building,retail,16,0.0164
building,apartments,14,0.0143
building,public,13,0.0133
building,shed,13,0.0133
building,building_concrete,9,0.0092
building,hut,8,0.0082
building,collapsed,7,0.0072
building,hospital,7,0.0072
building,damaged,6,0.0061
building,hotel,6,0.0061
building,service,6,0.0061
building,office,5,0.0051
building,panel_house,3,0.0031
building,temple,3,0.0031
building,university,3,0.0031
building,.,2,0.002
building,Eglise,2,0.002
building,garage,2,0.002
building,kindergarten,2,0.002
building,tent,2,0.002
building,07/12/2016,1,0.001
building,building_wood,1,0.001
building,cemetery,1,0.001
building,chapel,1,0.001
building,college,1,0.001
building,con3,1,0.001
building,detached,1,0.001
building,greenhouse,1,0.001
building,residentiel,1,0.001
building,static_caravan,1,0.001
building,storage_tank,1,0.001
building,supermarket,1,0.001
building,transformer_tower,1,0.001
building,warehouse,1,0.001
building,yes3,1,0.001
building,yes33,1,0.001
highway,residential,2870,26.8777
highway,path,2446,22.9069
highway,unclassified,1373,12.8582
highway,service,999,9.3557
highway,secondary,943,8.8312
highway,track,831,7.7824
highway,tertiary,474,4.439
highway,footway,392,3.6711
highway,primary,192,1.7981
highway,road,55,0.5151
highway,turning_circle,24,0.2248
highway,pedestrian,17,0.1592
highway,steps,15,0.1405
highway,living_street,11,0.103
highway,crossing,6,0.0562
highway,street_lamp,5,0.0468
highway,bus_stop,4,0.0375
highway,rest_area,4,0.0375
highway,construction,3,0.0281
highway,bridleway,2,0.0187
highway,ford,2,0.0187
highway,primary_link,2,0.0187
highway,secondary_link,2,0.0187
highway,tertiary_link,2,0.0187
highway,Driveway,1,0.0094
highway,Materiels didacticques,1,0.0094
highway,traffic_signals,1,0.0094
highway,trunk_link,1,0.0094
landuse,residential,499,49.8501
landuse,farmland,341,34.0659
landuse,farmyard,26,2.5974
landuse,construction,19,1.8981
landuse,industrial,14,1.3986
landuse,forest,12,1.1988
landuse,commercial,11,1.0989
landuse,greenfield,11,1.0989
landuse,brownfield,10,0.999
landuse,grass,10,0.999
landuse,cemetery,9,0.8991
landuse,yes,7,0.6993
landuse,village_green,5,0.4995
landuse,landfill,4,0.3996
landuse,education,3,0.2997
landuse,recreation_ground,3,0.2997
landuse,basin,2,0.1998
landuse,reservoir,2,0.1998
landuse,Publique,1,0.0999
landuse,garages,1,0.0999
landuse,greenhouse_horticulture,1,0.0999
landuse,harbour,1,0.0999
landuse,inndustrial,1,0.0999
landuse,meadow,1,0.0999
landuse,military,1,0.0999
landuse,park,1,0.0999
landuse,plant_nursery,1,0.0999
landuse,quarry,1,0.0999
landuse,retail,1,0.0999
landuse,salt_pond,1,0.0999
landuse,school,1,0.0999
name,Route Départementale # 401,101,1.2241
name,Routes Départementales Haïtiennes,86,1.0423
name,Route Nationale # 7,77,0.9332
name,Route Départementale # 402,69,0.8363
name,Bananiers,57,0.6908
name,Route Départementale # 201,44,0.5333
name,Boulevard des Américains,39,0.4727
name,Boulevard Jean-Jacques Dessalines,30,0.3636
name,Route 25,28,0.3394
name,Route Départementale # 205,28,0.3394
name,Canal Boucambrou,20,0.2424
name,Route Nationale #3,18,0.2182
name,route la voute,18,0.2182
