period1,period2,key,kendall_rank_correlation,kendall_p_value,cosine_similarity,pearson_correlation,pearson_p_value
imm,post,building,0.4286,0.178869,0.9949,0.995,3.1596593753672255e-07
imm,post,highway,0.7273,0.0004989,0.6786,0.5381,0.07113615128717567
imm,post,source,0.2381,0.5619048,0.647,0.2023,0.6636167435664978
imm,post,name,-1.0,1.0,0.7751,-1.0,1.0
imm,post,surface,0.7091,0.0015912,0.4717,0.2682,0.42520815025065206
imm,post,amenity,0.6183,0.0340493,0.9588,0.9205,0.0011830725129233187
imm,post,landuse,0.5298,0.029868,0.9837,0.9863,2.358263267126924e-08
imm,post,waterway,0.6,0.2333333,0.9909,0.9912,0.0009933590938911207
imm,post,natural,0.5843,0.0195503,0.8388,0.7581,0.011058609757733227
imm,post,leisure,0.3333,1.0,0.9815,0.9568,0.1878041982988562
imm,post,emergency,nan,nan,0,0,0
