period1,period2,key,kendall_rank_correlation,kendall_p_value,cosine_similarity,pearson_correlation,pearson_p_value
pre,imm,building,0.6429,0.0311508,0.9985,0.9985,8.208426781154609e-09
pre,imm,highway,0.5385,0.0101174,0.6017,0.3193,0.28753980261338963
pre,imm,source,0.3333,1.0,0.7438,0.2051,0.8684781034676305
pre,imm,name,-0.3904,0.2242566,0.5462,-0.4904,0.2638454161031008
pre,imm,surface,0.5695,0.0080229,0.5265,0.3466,0.24599824125128136
pre,imm,amenity,0.5138,0.028784,0.2893,-0.0001,0.9998833777547768
pre,imm,landuse,0.6667,0.0018033,0.6494,0.5975,0.04019691670964891
pre,imm,waterway,0.7143,0.0141369,0.9847,0.9811,1.6668335392978175e-05
pre,imm,natural,0.5636,0.0165405,0.79,0.7436,0.008708393718273722
pre,imm,leisure,0.8409,0.0008503,0.6714,0.6472,0.04309294662216451
pre,imm,emergency,1.0,0.3333333,0.9846,0.9835,0.11565902781719682
