key,count,percent_of_total_changes,percent_difference_from_pre,percent_difference_from_pre_day
highway,2322,4.2478,0.0,0.0
name,1195,2.1861,0.0,0.0
tiger:county,790,1.4452,0.0,0.0
tiger:cfcc,789,1.4434,0.0,0.0
tiger:reviewed,590,1.0793,0.0,0.0
tiger:name_base,537,0.9824,0.0,0.0
access,519,0.9495,0.0,0.0
natural,440,0.8049,0.0,0.0
tiger:name_type,435,0.7958,0.0,0.0
surface,335,0.6128,0.0,0.0
source,297,0.5433,0.0,0.0
service,258,0.472,0.0,0.0
waterway,207,0.3787,0.0,0.0
barrier,194,0.3549,0.0,0.0
power,177,0.3238,0.0,0.0
gnis:fcode,142,0.2598,0.0,0.0
gnis:ftype,142,0.2598,0.0,0.0
nhd:fdate,142,0.2598,0.0,0.0
nhd:reach_code,142,0.2598,0.0,0.0
nhd:com_id,137,0.2506,0.0,0.0
building,132,0.2415,0.0,0.0
intermittent,131,0.2397,0.0,0.0
tiger:name_base_1,130,0.2378,0.0,0.0
ref,126,0.2305,0.0,0.0
ele,125,0.2287,0.0,0.0
landuse,117,0.214,0.0,0.0
lanes,105,0.1921,0.0,0.0
name_1,105,0.1921,0.0,0.0
foot,102,0.1866,0.0,0.0
bicycle,99,0.1811,0.0,0.0
OBJECTID,92,0.1683,0.0,0.0
Zoning,92,0.1683,0.0,0.0
boundary,75,0.1372,0.0,0.0
tracktype,75,0.1372,0.0,0.0
attribution,68,0.1244,0.0,0.0
horse,68,0.1244,0.0,0.0
wikidata,65,0.1189,0.0,0.0
tiger:name_type_1,64,0.1171,0.0,0.0
tourism,63,0.1153,0.0,0.0
operator,62,0.1134,0.0,0.0
gnis:feature_id,60,0.1098,0.0,0.0
gnis:created,59,0.1079,0.0,0.0
description,56,0.1024,0.0,0.0
note,56,0.1024,0.0,0.0
maxspeed,55,0.1006,0.0,0.0
gnis:id,54,0.0988,0.0,0.0
gnis:county_id,52,0.0951,0.0,0.0
gnis:state_id,52,0.0951,0.0,0.0
hgv,51,0.0933,0.0,0.0
Attribution,49,0.0896,0.0,0.0
motor_vehicle,49,0.0896,0.0,0.0
layer,48,0.0878,0.0,0.0
man_made,47,0.086,0.0,0.0
fixme,41,0.075,0.0,0.0
hgv:minaxles,38,0.0695,0.0,0.0
hgv:minweight,38,0.0695,0.0,0.0
note:hgv,38,0.0695,0.0,0.0
protect_class,38,0.0695,0.0,0.0
public_transport,38,0.0695,0.0,0.0
upload_version,37,0.0677,0.0,0.0
SHAPE_STAr,36,0.0659,0.0,0.0
SHAPE_STLe,36,0.0659,0.0,0.0
SHAPESTAre,35,0.064,0.0,0.0
SHAPESTLen,35,0.064,0.0,0.0
bus,35,0.064,0.0,0.0
amenity,34,0.0622,0.0,0.0
leisure,34,0.0622,0.0,0.0
network,33,0.0604,0.0,0.0
oneway,31,0.0567,0.0,0.0
tunnel,28,0.0512,0.0,0.0
website,25,0.0457,0.0,0.0
tiger:separated,24,0.0439,0.0,0.0
tiger:source,24,0.0439,0.0,0.0
tiger:tlid,24,0.0439,0.0,0.0
ACRES,23,0.0421,0.0,0.0
bridge,23,0.0421,0.0,0.0
alt_name,22,0.0402,0.0,0.0
place,22,0.0402,0.0,0.0
owner,21,0.0384,0.0,0.0
admin_level,20,0.0366,0.0,0.0
tiger:upload_uuid,20,0.0366,0.0,0.0
HOLDING_ID,19,0.0348,0.0,0.0
border_type,19,0.0348,0.0,0.0
direction,16,0.0293,0.0,0.0
maxheight,16,0.0293,0.0,0.0
is_in,15,0.0274,0.0,0.0
FIXME,14,0.0256,0.0,0.0
backcountry,14,0.0256,0.0,0.0
material,14,0.0256,0.0,0.0
tiger:name_direction_suffix,14,0.0256,0.0,0.0
water,14,0.0256,0.0,0.0
gnis:County,13,0.0238,0.0,0.0
gnis:County_num,13,0.0238,0.0,0.0
gnis:ST_alpha,13,0.0238,0.0,0.0
gnis:ST_num,13,0.0238,0.0,0.0
lit,13,0.0238,0.0,0.0
src:id,13,0.0238,0.0,0.0
gnis:Class,12,0.022,0.0,0.0
hgv:state_network,12,0.022,0.0,0.0
import_uuid,12,0.022,0.0,0.0
old_ref:legislative,12,0.022,0.0,0.0
sac_scale,12,0.022,0.0,0.0
source:hgv:state_network,12,0.022,0.0,0.0
ford,11,0.0201,0.0,0.0
height,11,0.0201,0.0,0.0
motorcar,11,0.0201,0.0,0.0
width,11,0.0201,0.0,0.0
fee,10,0.0183,0.0,0.0
parking,10,0.0183,0.0,0.0
state,10,0.0183,0.0,0.0
BASEDTL,9,0.0165,0.0,0.0
addr:state,9,0.0165,0.0,0.0
tiger:name_direction_prefix_1,9,0.0165,0.0,0.0
voltage,9,0.0165,0.0,0.0
BASENM,8,0.0146,0.0,0.0
ID,8,0.0146,0.0,0.0
protection_title,8,0.0146,0.0,0.0
tiger:name_base_2,8,0.0146,0.0,0.0
abandoned:highway,7,0.0128,0.0,0.0
content,7,0.0128,0.0,0.0
cycleway,7,0.0128,0.0,0.0
gnis:county_name,7,0.0128,0.0,0.0
gnis:feature_type,7,0.0128,0.0,0.0
historic,7,0.0128,0.0,0.0
lacounty:ain,7,0.0128,0.0,0.0
lacounty:bld_id,7,0.0128,0.0,0.0
note:2,7,0.0128,0.0,0.0
NHS,6,0.011,0.0,0.0
Shape_area,6,0.011,0.0,0.0
Shape_len,6,0.011,0.0,0.0
Zone,6,0.011,0.0,0.0
toilets:disposal,6,0.011,0.0,0.0
aerialway,5,0.0091,0.0,0.0
aerialway:access,5,0.0091,0.0,0.0
geological,5,0.0091,0.0,0.0
gns:id,5,0.0091,0.0,0.0
incline,5,0.0091,0.0,0.0
ownership,5,0.0091,0.0,0.0
source_ref,5,0.0091,0.0,0.0
trail_visibility,5,0.0091,0.0,0.0
wetland,5,0.0091,0.0,0.0
wheelchair,5,0.0091,0.0,0.0
FMMP_modified,4,0.0073,0.0,0.0
FMMP_reviewed,4,0.0073,0.0,0.0
UNIT_ID,4,0.0073,0.0,0.0
acres,4,0.0073,0.0,0.0
addr:county,4,0.0073,0.0,0.0
cables,4,0.0073,0.0,0.0
charge,4,0.0073,0.0,0.0
check_date,4,0.0073,0.0,0.0
embankment,4,0.0073,0.0,0.0
fence_type,4,0.0073,0.0,0.0
operator:type,4,0.0073,0.0,0.0
postal_code,4,0.0073,0.0,0.0
smoothness,4,0.0073,0.0,0.0
