period1,period2,key,kendall_rank_correlation,kendall_p_value,cosine_similarity,pearson_correlation,pearson_p_value
imm,post,building,0.6667,0.0126653,1.0,1.0,5.836631711942239e-17
imm,post,highway,0.6364,0.0031816,0.7897,0.5949,0.041325638579677165
imm,post,source,0.4667,0.2722222,0.7173,0.3964,0.43649895684991125
imm,post,name,nan,nan,0,0,0
imm,post,surface,0.5641,0.0066774,0.5299,0.3679,0.21622171880958493
imm,post,amenity,0.3818,0.120971,0.4477,0.1034,0.7622421114583856
imm,post,landuse,0.5152,0.0209804,0.8393,0.8007,0.001752649552454746
imm,post,waterway,0.7879,0.0001074,0.9108,0.8956,8.173744768371399e-05
imm,post,natural,0.697,0.0009745,0.8884,0.8659,0.00027128529693696895
imm,post,leisure,0.7576,0.00024,0.9218,0.8874,0.0001177918777844473
imm,post,emergency,0.8571,0.0017361,0.9915,0.9904,2.1982360484750977e-06
