period1,period2,key,kendall_rank_correlation,kendall_p_value,cosine_similarity,pearson_correlation,pearson_p_value
pre,imm,building,0.6889,0.0046869,0.9989,0.9988,9.702998054370842e-12
pre,imm,highway,0.359,0.0999803,0.7003,0.3692,0.2144483010491419
pre,imm,source,0.3333,0.75,0.7866,0.3809,0.6191328153293207
pre,imm,name,1.0,1.0,0.9999,1.0,1.0
pre,imm,surface,0.7576,0.00024,0.4376,0.2686,0.3986367978968905
pre,imm,amenity,0.3818,0.120971,0.4781,0.0728,0.8315999506313232
pre,imm,landuse,0.4545,0.0601702,0.924,0.9393,1.7973181656601656e-05
pre,imm,waterway,0.7455,0.0007595,0.9907,0.9907,4.102670330164809e-09
pre,imm,natural,0.6154,0.0026755,0.9176,0.8881,5.033346992164144e-05
pre,imm,leisure,0.6667,0.0126653,0.2294,-0.0539,0.8904812010303004
pre,imm,emergency,0.5189,0.0785459,0.646,0.4212,0.2986247332082254
