period1,period2,key,kendall_rank_correlation,kendall_p_value,cosine_similarity,pearson_correlation,pearson_p_value
pre,post,building,0.8182,0.0001323,0.8952,0.8934,0.00021104847336264796
pre,post,highway,0.6667,0.0009426,0.9021,0.8331,0.0004059647367513507
pre,post,source,0.6111,0.024741,0.9909,0.9926,1.1403337005284349e-07
pre,post,name,0.3333,0.4694444,0.9641,0.5125,0.29860791250283597
pre,post,surface,0.8808,0.0001781,0.8626,0.7744,0.005135225717154774
pre,post,amenity,0.4848,0.0310502,0.8884,0.7961,0.001949979750645232
pre,post,landuse,0.1636,0.5422593,0.8117,0.6842,0.020221194094619668
pre,post,waterway,0.7778,0.0009463,0.5764,0.4046,0.24614356470742874
pre,post,natural,0.3333,0.1525905,0.5466,0.3288,0.29670182027066405
pre,post,leisure,0.6364,0.0057072,0.972,0.9654,1.4911316245065451e-06
pre,post,emergency,-0.6667,0.3333333,0.1681,-0.527,0.4730306111546394
