key,count,percent_of_total_changes,percent_difference_from_pre,percent_difference_from_pre_day
building,1613145,9.4524,264.42,4333.7761
highway,320963,1.8807,208.3011,3650.9964
source,270052,1.5824,248.8999,4144.9486
landuse,83306,0.4881,778.4773,10588.1402
name,38390,0.2249,-39.2823,638.7324
damage:event,36430,0.2135,728500.0,8864533.3333
waterway,25562,0.1498,203.6228,3594.0769
natural,20928,0.1226,141.3562,2836.501
idp:camp_site,20467,0.1199,409240.0,4980203.3333
surface,20341,0.1192,-37.3641,662.0698
source:date,18957,0.1111,58.1199,1823.7926
area,16014,0.0938,192.0664,3453.4744
amenity,10545,0.0618,-38.4054,649.4013
earthquake:damage,9882,0.0579,18903.8462,231113.4615
place,9812,0.0575,500.4896,7205.9568
ref,8867,0.052,-29.3185,759.9588
admin_level,7198,0.0422,458.8509,6699.353
note,6650,0.039,357.359,5464.5346
source:imagery,6500,0.0381,7203.3708,88757.6779
building:levels,6074,0.0356,-48.7945,523.0006
haiti:source,5997,0.0351,5025.641,62261.9658
haiti:source_file,5991,0.0351,5020.5128,62199.5726
haiti:code,5989,0.0351,4890.8333,60621.8056
haiti:objectid,5987,0.0351,5017.094,62157.9772
haiti:import_file,5981,0.035,5011.9658,62095.584
haiti:type,5957,0.0349,4991.453,61846.0114
haiti:nom,5954,0.0349,4988.8889,61814.8148
fixme,5951,0.0349,858.2931,11559.2324
haiti:nom2,5949,0.0349,4984.6154,61762.8205
id,5821,0.0341,48408.3333,590084.7222
vdccode,5821,0.0341,116320.0,1416343.3333
vdcname,5821,0.0341,116320.0,1416343.3333
X,5820,0.0341,116300.0,1416100.0
Y,5820,0.0341,116300.0,1416100.0
districtna,5820,0.0341,116300.0,1416100.0
healthtype,5803,0.034,115960.0,1411963.3333
boundary,5764,0.0338,348.9097,5361.7342
damage,5538,0.0325,110660.0,1347480.0
source:geometry,5532,0.0324,902.1739,12093.1159
leisure,5523,0.0324,173.8225,3231.5072
damage:structure,5364,0.0314,107180.0,1305140.0
layer,5092,0.0298,7.2677,1205.0909
tracktype,5015,0.0294,293.9513,4693.0741
FIXME,4983,0.0292,1348.5465,17523.9826
source:damage,4698,0.0275,93860.0,1143080.0
bridge,4597,0.0269,56.0421,1798.5121
damage:assessment,4575,0.0268,91400.0,1113150.0
idp:status_20150503,4295,0.0252,85800.0,1045016.6667
fixme:building,4289,0.0251,85680.0,1043556.6667
tourism,4287,0.0251,254.2975,4210.6198
oneway,4235,0.0248,-71.0209,252.5786
power,4050,0.0237,79.4417,2083.2078
refugee,3955,0.0232,49337.5,601389.5833
is_in:country,3412,0.02,4844.9275,60063.285
emergency:helipad,3375,0.0198,67400.0,821150.0
is_in:district,3354,0.0197,66980.0,816040.0
admin_unit,3352,0.0196,66940.0,815553.3333
mapping_project,3352,0.0196,66940.0,815553.3333
brownfield:source_20150503,3236,0.019,64620.0,787326.6667
idp:source_20150503,2852,0.0167,56940.0,693886.6667
addr:country,2850,0.0167,-27.4255,782.9896
lit,2844,0.0167,-59.6653,390.7389
barrier,2839,0.0166,-70.2161,262.3706
addr:street,2688,0.0158,-80.8069,133.5166
ford,2614,0.0153,283.8473,4570.1419
lanes,2607,0.0153,-61.6956,366.0373
addr:city,2258,0.0132,-68.0713,288.4663
foot,2226,0.013,-53.2942,468.2543
addr:housenumber,2068,0.0121,-83.2754,103.4829
smoothness,2059,0.0121,-64.7008,329.4731
bicycle,1990,0.0117,-63.1959,347.7837
type:haiti,1974,0.0116,-3.0928,1079.0378
source:haiti,1960,0.0115,-4.3436,1063.8197
service,1810,0.0106,-54.3621,455.2614
leaf_type,1697,0.0099,-3.2497,1077.1285
border_type,1668,0.0098,6315.3846,77953.8462
source:name,1620,0.0095,231.9672,3938.9344
boat,1616,0.0095,216.2427,3747.619
genus,1615,0.0095,22.7204,1393.0978
addr:postcode,1613,0.0095,-55.6259,439.8854
species,1596,0.0094,22.2989,1387.9693
species:it,1590,0.0093,45.7379,1673.1439
genus:it,1567,0.0092,46.8604,1686.801
maxspeed,1310,0.0077,-82.5589,112.1999
name:en,1306,0.0077,-10.6703,986.8445
population,1251,0.0073,1503.8462,19413.4615
access,1199,0.007,-60.5592,379.8629
crossing,1194,0.007,-81.5798,124.1129
addr:district,1193,0.007,150.6303,2949.3347
intermittent,1169,0.0068,201.2887,3565.6787
footway,1153,0.0068,-73.9199,217.3075
sidewalk,1134,0.0066,-49.2617,517.3154
water,1129,0.0066,134.7193,2755.7519
tunnel,1022,0.006,1.5905,1136.0172
shop,1020,0.006,-86.4704,64.6107
practicability,912,0.0053,-44.6938,572.8927
tactile_paving,847,0.005,-71.8136,242.934
horse,833,0.0049,66.9339,1931.0287
motor_vehicle,777,0.0046,-6.8345,1033.5132
idp:status_20150514,767,0.0045,15240.0,186536.6667
