key,count,percent_of_total_changes,percent_difference_from_pre,percent_difference_from_pre_day
building,479783,9.4979,0.0,0.0
highway,115552,2.2875,0.0,0.0
source,85578,1.6941,0.0,0.0
name,67299,1.3323,0.0,0.0
surface,34472,0.6824,0.0,0.0
amenity,17819,0.3528,0.0,0.0
oneway,14943,0.2958,0.0,0.0
addr:street,14476,0.2866,0.0,0.0
ref,13033,0.258,0.0,0.0
addr:housenumber,12558,0.2486,0.0,0.0
building:levels,12378,0.245,0.0,0.0
source:date,12077,0.2391,0.0,0.0
barrier,10708,0.212,0.0,0.0
landuse,9967,0.1973,0.0,0.0
waterway,9596,0.19,0.0,0.0
natural,9532,0.1887,0.0,0.0
maxspeed,7896,0.1563,0.0,0.0
shop,7743,0.1533,0.0,0.0
addr:city,7417,0.1468,0.0,0.0
lit,7196,0.1425,0.0,0.0
lanes,7088,0.1403,0.0,0.0
smoothness,6664,0.1319,0.0,0.0
operator:type,6634,0.1313,0.0,0.0
crossing,6568,0.13,0.0,0.0
public_transport,6463,0.1279,0.0,0.0
bus,6425,0.1272,0.0,0.0
power:inverter,5911,0.117,0.0,0.0
waste:collection,5911,0.117,0.0,0.0
household:water:jar_delivered,5910,0.117,0.0,0.0
waste:segregation,5909,0.117,0.0,0.0
household:water:public_supply,5908,0.117,0.0,0.0
household:water:tanker_delivered,5907,0.1169,0.0,0.0
internet_access:provider,5904,0.1169,0.0,0.0
power:solar_panel,5904,0.1169,0.0,0.0
heating:solar,5901,0.1168,0.0,0.0
waste:blackwater,5900,0.1168,0.0,0.0
office:name,5899,0.1168,0.0,0.0
office:type,5892,0.1166,0.0,0.0
network,5741,0.1137,0.0,0.0
operator,5561,0.1101,0.0,0.0
area,5510,0.1091,0.0,0.0
bicycle,5453,0.1079,0.0,0.0
operational_status,5171,0.1024,0.0,0.0
layer,5142,0.1018,0.0,0.0
building:material,5134,0.1016,0.0,0.0
foot,4841,0.0958,0.0,0.0
addr:country,4822,0.0955,0.0,0.0
footway,4421,0.0875,0.0,0.0
service,4210,0.0833,0.0,0.0
man_made,4180,0.0827,0.0,0.0
building:roof,4124,0.0816,0.0,0.0
operational_status_quality,4061,0.0804,0.0,0.0
Household Code,4052,0.0802,0.0,0.0
addr:postcode,3780,0.0748,0.0,0.0
network:wikidata,3649,0.0722,0.0,0.0
Household Info By,3619,0.0716,0.0,0.0
name:etymology:wikidata,3370,0.0667,0.0,0.0
project,3355,0.0664,0.0,0.0
cosmha,3196,0.0633,0.0,0.0
access,3138,0.0621,0.0,0.0
bridge,3128,0.0619,0.0,0.0
tactile_paving,3038,0.0601,0.0,0.0
kll:oid,2907,0.0575,0.0,0.0
phone,2638,0.0522,0.0,0.0
source:haiti,2537,0.0502,0.0,0.0
type:haiti,2515,0.0498,0.0,0.0
railway,2511,0.0497,0.0,0.0
power,2397,0.0475,0.0,0.0
practicability,2356,0.0466,0.0,0.0
place,2319,0.0459,0.0,0.0
sidewalk,2293,0.0454,0.0,0.0
abandoned,2227,0.0441,0.0,0.0
website,2201,0.0436,0.0,0.0
disused,2178,0.0431,0.0,0.0
crossing_ref,2148,0.0425,0.0,0.0
network:wikipedia,2119,0.0419,0.0,0.0
leisure,2064,0.0409,0.0,0.0
gauge,1939,0.0384,0.0,0.0
religion,1920,0.038,0.0,0.0
content,1897,0.0376,0.0,0.0
opening_hours,1870,0.037,0.0,0.0
leaf_type,1799,0.0356,0.0,0.0
building_status,1796,0.0356,0.0,0.0
cycleway:right,1730,0.0342,0.0,0.0
name:en,1666,0.033,0.0,0.0
admin_level,1643,0.0325,0.0,0.0
cycleway:both,1615,0.032,0.0,0.0
note,1609,0.0319,0.0,0.0
maxspeed:type,1567,0.031,0.0,0.0
fee,1562,0.0309,0.0,0.0
segregated,1544,0.0306,0.0,0.0
old_ref,1528,0.0302,0.0,0.0
historic,1518,0.0301,0.0,0.0
junction,1490,0.0295,0.0,0.0
alt,1468,0.0291,0.0,0.0
voltage,1467,0.029,0.0,0.0
boundary,1430,0.0283,0.0,0.0
crossing:island,1415,0.028,0.0,0.0
electrified,1375,0.0272,0.0,0.0
tracktype,1316,0.0261,0.0,0.0
