key,value,count,percent_of_total_changes_for_key
amenity,school,21687,21.06
amenity,hospital,13757,13.36
amenity,parking,7658,7.44
amenity,place_of_worship,7173,6.97
amenity,drinking_water,5791,5.62
amenity,restaurant,4157,4.04
amenity,toilets,2655,2.58
amenity,college,2256,2.19
amenity,bench,2190,2.13
amenity,bicycle_parking,2170,2.11
building,yes,2875330,92.24
building,house,104140,3.34
building,residential,32464,1.04
building,construction,29981,0.96
building,school,21417,0.69
building,apartments,8252,0.26
building,collapsed,7545,0.24
building,commercial,4685,0.15
building,hospital,3328,0.11
building,college,3019,0.1
highway,residential,170604,19.07
highway,path,152064,16.99
highway,unclassified,125583,14.03
highway,track,114937,12.84
highway,footway,51569,5.76
highway,tertiary,46953,5.25
highway,road,45080,5.04
highway,service,44798,5.01
highway,secondary,28793,3.22
highway,primary,28611,3.2
landuse,residential,79993,53.87
landuse,brownfield,24526,16.52
landuse,farmland,16803,11.32
landuse,forest,5207,3.51
landuse,grass,4792,3.23
landuse,industrial,2252,1.52
landuse,farmyard,1775,1.2
landuse,farm,1620,1.09
landuse,orchard,1428,0.96
landuse,construction,1191,0.8
name,Regent Street,974,0.24
name,Building,927,0.23
name,महेन्द्र राज्मार्ग्,908,0.22
name,Nationale No 2,817,0.2
name,Via Emilia,628,0.15
name,Via Toscana,570,0.14
name,Route Nationale # 1,565,0.14
name,Ring Road,561,0.14
name,Via Emilia Ponente,542,0.13
name,Bologna Centrale,531,0.13
natural,tree,96095,70.85
natural,wood,12467,9.19
natural,water,8608,6.35
natural,peak,4386,3.23
natural,coastline,3177,2.34
natural,scrub,2868,2.11
natural,tree_row,1922,1.42
natural,sand,924,0.68
natural,glacier,755,0.56
natural,wetland,674,0.5
surface,asphalt,104623,54.29
surface,unpaved,21158,10.98
surface,ground,15267,7.92
surface,paved,10406,5.4
surface,dirt,9324,4.84
surface,gravel,8577,4.45
surface,paving_stones,5582,2.9
surface,Dirt/Sand,4722,2.45
surface,sett,2783,1.44
surface,concrete,1766,0.92
waterway,stream,42035,55.22
waterway,river,18075,23.75
waterway,drain,6163,8.1
waterway,canal,3434,4.51
waterway,ditch,3382,4.44
waterway,riverbank,2128,2.8
waterway,dam,276,0.36
waterway,weir,177,0.23
waterway,yes,174,0.23
waterway,waterfall,71,0.09
