key,count,percent_of_total_changes
building,1644782,9.37
highway,342166,1.95
source,302715,1.72
landuse,85501,0.49
damage:event,68170,0.39
name,45807,0.26
waterway,32233,0.18
idp:camp_site,27093,0.15
idp:source_20150427,25772,0.15
idp:site,25242,0.14
natural,24079,0.14
surface,20903,0.12
source:date,18957,0.11
area,18816,0.11
idp:status_20150427,12770,0.07
amenity,11595,0.07
place,11435,0.07
admin_level,10556,0.06
earthquake:damage,10292,0.06
haiti:source,10119,0.06
haiti:source_file,10113,0.06
haiti:code,10110,0.06
haiti:objectid,10109,0.06
haiti:import_file,10103,0.06
haiti:type,10079,0.06
haiti:nom,10073,0.06
haiti:nom2,10071,0.06
ref,9504,0.05
boundary,9170,0.05
note,7038,0.04
source:imagery,6540,0.04
idp:status_2015427,6174,0.04
building:levels,6134,0.03
fixme,6094,0.03
leisure,6030,0.03
layer,5859,0.03
id,5831,0.03
vdccode,5821,0.03
vdcname,5821,0.03
X,5820,0.03
Y,5820,0.03
districtna,5820,0.03
healthtype,5803,0.03
damage,5538,0.03
source:geometry,5533,0.03
damage:structure,5364,0.03
FIXME,5179,0.03
tracktype,5072,0.03
bridge,4958,0.03
source:damage,4698,0.03
tourism,4637,0.03
damage:assessment,4575,0.03
idp:status_20150503,4295,0.02
fixme:building,4289,0.02
oneway,4288,0.02
power,4240,0.02
refugee,4190,0.02
is_in:country,3444,0.02
emergency:helipad,3375,0.02
is_in:district,3354,0.02
admin_unit,3352,0.02
mapping_project,3352,0.02
brownfield:source_20150503,3236,0.02
addr:country,3105,0.02
barrier,3000,0.02
lit,2904,0.02
idp:source_20150503,2852,0.02
addr:street,2789,0.02
population,2717,0.02
ford,2706,0.02
lanes,2668,0.02
addr:city,2333,0.01
source:name,2333,0.01
foot,2264,0.01
boat,2184,0.01
smoothness,2157,0.01
addr:housenumber,2103,0.01
service,2030,0.01
type:haiti,2022,0.01
bicycle,2015,0.01
ele,2014,0.01
source:haiti,2012,0.01
id_commune,1888,0.01
genus,1742,0.01
leaf_type,1700,0.01
border_type,1685,0.01
addr:postcode,1628,0.01
species,1597,0.01
species:it,1590,0.01
genus:it,1567,0.01
name:en,1425,0.01
pcode,1366,0.01
maxspeed,1361,0.01
source:health_facility,1325,0.01
intermittent,1294,0.01
geometry_source_type,1228,0.01
health_facility:department,1224,0.01
health_facility:commune,1222,0.01
health_facility:commune_id,1222,0.01
health_facility:paho_id,1222,0.01
attribute_source_type,1220,0.01
access,1211,0.01
crossing,1207,0.01
addr:district,1194,0.01
sidewalk,1165,0.01
footway,1155,0.01
water,1137,0.01
shop,1052,0.01
tunnel,1046,0.01
practicability,980,0.01
tactile_paving,850,0.0
horse,835,0.0
health_facility_type,821,0.0
motor_vehicle,789,0.0
man_made,788,0.0
operator,774,0.0
idp:status_20150514,767,0.0
width,763,0.0
crossing:markings,726,0.0
voltage,725,0.0
attribution,716,0.0
int_ref,693,0.0
cables,688,0.0
cycleway,676,0.0
operational_status,668,0.0
copythis,648,0.0
public_transport,613,0.0
name_old,610,0.0
pcode_2,609,0.0
pcode_3,609,0.0
aeroway,583,0.0
covered,576,0.0
operational_status_quality,564,0.0
crossing:island,549,0.0
building_status,536,0.0
building:material,531,0.0
project,528,0.0
religion,518,0.0
alt_name,515,0.0
phone,503,0.0
cosmha,503,0.0
incline,488,0.0
sac_scale,479,0.0
level,475,0.0
bus,412,0.0
surface_condition,402,0.0
source:lca,400,0.0
brownfield:source_20150514,398,0.0
health_facility:organisation,387,0.0
network,382,0.0
material,378,0.0
wires,375,0.0
earthquake_damage,375,0.0
colour,372,0.0
name:ne,371,0.0
sport,363,0.0
railway,361,0.0
wikipedia,340,0.0
zone:maxspeed,338,0.0
operator:type,338,0.0
keepme,321,0.0
camp_site=spontaneous_camp,316,0.0
bridge:structure,309,0.0
trail_visibility,304,0.0
name:np,303,0.0
survey_date,290,0.0
structure,286,0.0
website,282,0.0
opening_hours,277,0.0
pcode:2,275,0.0
segregated,270,0.0
building_count,270,0.0
personnel:count,265,0.0
source:lca:date,262,0.0
wikidata,251,0.0
junction,250,0.0
shelter,249,0.0
density,247,0.0
idp:source_20150514,245,0.0
isced:level,243,0.0
Source,242,0.0
student:count,241,0.0
sahana_id,233,0.0
wheelchair,222,0.0
roof:shape,222,0.0
building:structure,217,0.0
bench,215,0.0
description,215,0.0
height,215,0.0
crop,214,0.0
building:roof,209,0.0
is_in,208,0.0
building:soft_storey,208,0.0
name:fr,203,0.0
building:overhang,202,0.0
network:wikidata,201,0.0
name:source,201,0.0
building:adjacency,200,0.0
shape:plan,200,0.0
embankment,199,0.0
