key,count,percent_of_total_changes,percent_difference_from_pre,percent_difference_from_pre_day
building,1613145,9.4524,264.42,4333.7761
highway,320963,1.8807,208.3011,3650.9964
source,270052,1.5824,248.8999,4144.9486
landuse,83306,0.4881,778.4773,10588.1402
name,38390,0.2249,-39.2823,638.7324
damage:event,36430,0.2135,728500.0,8864533.3333
waterway,25562,0.1498,203.6228,3594.0769
natural,20928,0.1226,141.3562,2836.501
idp:camp_site,20467,0.1199,409240.0,4980203.3333
surface,20341,0.1192,-37.3641,662.0698
source:date,18957,0.1111,58.1199,1823.7926
area,16014,0.0938,192.0664,3453.4744
amenity,10545,0.0618,-38.4054,649.4013
earthquake:damage,9882,0.0579,18903.8462,231113.4615
place,9812,0.0575,500.4896,7205.9568
ref,8867,0.052,-29.3185,759.9588
admin_level,7198,0.0422,458.8509,6699.353
note,6650,0.039,357.359,5464.5346
source:imagery,6500,0.0381,7203.3708,88757.6779
building:levels,6074,0.0356,-48.7945,523.0006
haiti:source,5997,0.0351,5025.641,62261.9658
haiti:source_file,5991,0.0351,5020.5128,62199.5726
haiti:code,5989,0.0351,4890.8333,60621.8056
haiti:objectid,5987,0.0351,5017.094,62157.9772
haiti:import_file,5981,0.035,5011.9658,62095.584
