key,count,percent_of_total_changes,percent_difference_from_pre
building,386603,7.5645,-13.0768
highway,171576,3.3572,64.6935
source,147139,2.879,90.053
name,116295,2.2755,83.854
natural,55608,1.0881,541.0144
surface,54047,1.0575,66.3906
attribute_source_date,42373,0.8291,282386.6667
attribute_source_type,40552,0.7935,122784.8485
landuse,37108,0.7261,290.8574
geometry_source_type,36221,0.7087,103388.5714
addr:street,36121,0.7068,157.8782
geometry_source_date,35529,0.6952,161395.4545
leaf_type,34790,0.6807,1883.4664
genus,33597,0.6574,2452.9635
species,33377,0.6531,2457.6245
species:it,32438,0.6347,2873.2356
genus:it,32412,0.6342,2937.6757
SurfaceCondition,28025,0.5484,560400.0
amenity,27109,0.5304,58.3377
operational_status,26289,0.5144,515.8117
Surface,25391,0.4968,12346.5686
addr:country,24983,0.4888,536.1854
addr:housenumber,24792,0.4851,100.469
operational_status_quality,24403,0.4775,620.4901
Practicability,23940,0.4684,478700.0
