key,count,percent_of_total_changes,percent_difference_from_pre
building,444763,10.0065,0.0
highway,104179,2.3439,0.0
source,77420,1.7418,0.0
name,63254,1.4231,0.0
surface,32481,0.7308,0.0
amenity,17121,0.3852,0.0
oneway,14614,0.3288,0.0
addr:street,14006,0.3151,0.0
ref,12574,0.2829,0.0
addr:housenumber,12366,0.2782,0.0
source:date,11988,0.2697,0.0
building:levels,11861,0.2669,0.0
barrier,9543,0.2147,0.0
landuse,9493,0.2136,0.0
natural,8674,0.1952,0.0
waterway,8642,0.1944,0.0
shop,7539,0.1696,0.0
maxspeed,7510,0.169,0.0
addr:city,7071,0.1591,0.0
lit,7050,0.1586,0.0
lanes,6805,0.1531,0.0
operator:type,6568,0.1478,0.0
crossing,6481,0.1458,0.0
public_transport,6381,0.1436,0.0
bus,6359,0.1431,0.0
