key,count,percent_of_total_changes,percent_difference_from_pre,percent_difference_from_pre_day
highway,175262,3.3793,43.9666,43.9666
name,72225,1.3926,87.3201,87.3201
tiger:county,50162,0.9672,72.6093,72.6093
tiger:cfcc,49934,0.9628,72.5372,72.5372
tiger:name_base,38366,0.7397,108.6243,108.6243
building,38224,0.737,-86.6095,-86.6095
tiger:reviewed,36184,0.6977,68.4309,68.4309
oneway,35186,0.6784,121.5883,121.5883
tiger:name_type,32706,0.6306,115.1003,115.1003
surface,20410,0.3935,64.61,64.61
tiger:zip_left,20399,0.3933,112.4232,112.4232
tiger:zip_right,18673,0.36,113.3082,113.3082
service,18348,0.3538,86.4445,86.4445
ref,16820,0.3243,247.0188,247.0188
power,15602,0.3008,-43.7421,-43.7421
source,13986,0.2697,-11.738,-11.738
lanes,10920,0.2106,114.8338,114.8338
amenity,9854,0.19,180.5809,180.5809
access,9172,0.1768,172.3278,172.3278
import,8939,0.1724,-26.3916,-26.3916
tiger:name_base_1,7606,0.1467,71.887,71.887
natural,7550,0.1456,236.6028,236.6028
leisure,7238,0.1396,248.1481,248.1481
landuse,7052,0.136,221.1293,221.1293
layer,5544,0.1069,95.9011,95.9011
addr:city,5119,0.0987,101.2977,101.2977
addr:state,4739,0.0914,54.2141,54.2141
footway,4690,0.0904,781.5789,781.5789
waterway,4682,0.0903,54.8793,54.8793
is_in,4497,0.0867,67.5484,67.5484
barrier,4357,0.084,213.0029,213.0029
maxspeed,4343,0.0837,130.3979,130.3979
bridge,4329,0.0835,62.6832,62.6832
addr:street,4326,0.0834,68.8525,68.8525
operator,4244,0.0818,161.1692,161.1692
addr:postcode,4121,0.0795,74.8409,74.8409
addr:housenumber,4062,0.0783,70.8158,70.8158
tiger:name_direction_prefix,3748,0.0723,124.97,124.97
tiger:name_type_1,3612,0.0696,116.2874,116.2874
voltage,3418,0.0659,49.1925,49.1925
frequency,3384,0.0652,48.6166,48.6166
cables,3002,0.0579,48.3202,48.3202
turn:lanes,2963,0.0571,84.2662,84.2662
circuits,2901,0.0559,249.0975,249.0975
old_ref,2667,0.0514,85.8537,85.8537
name_1,2572,0.0496,93.6747,93.6747
bicycle,2244,0.0433,39.2924,39.2924
foot,2083,0.0402,44.7533,44.7533
phone,2024,0.039,196.7742,196.7742
note,1982,0.0382,287.1094,287.1094
shop,1910,0.0368,212.0915,212.0915
website,1862,0.0359,175.4438,175.4438
railway,1832,0.0353,-76.1954,-76.1954
tiger:name_base_2,1769,0.0341,199.3232,199.3232
destination:ref,1769,0.0341,2848.3333,2848.3333
lit,1621,0.0313,232.8542,232.8542
toll,1527,0.0294,283.6683,283.6683
ele,1456,0.0281,19.1489,19.1489
sport,1432,0.0276,136.3036,136.3036
intermittent,1372,0.0265,474.0586,474.0586
building:levels,1368,0.0264,474.7899,474.7899
gnis:feature_id,1345,0.0259,70.4689,70.4689
opening_hours,1252,0.0241,135.3383,135.3383
material,1230,0.0237,-92.5301,-92.5301
man_made,1195,0.023,118.4644,118.4644
crossing,1125,0.0217,208.2192,208.2192
int_name,1122,0.0216,2237.5,2237.5
destination,1121,0.0216,1283.9506,1283.9506
tunnel,1114,0.0215,222.8986,222.8986
gnis:fcode,1083,0.0209,560.3659,560.3659
nhd:fdate,1070,0.0206,608.6093,608.6093
gnis:ftype,1065,0.0205,596.0784,596.0784
tiger:name_type_2,1034,0.0199,241.2541,241.2541
horse,1013,0.0195,54.6565,54.6565
gnis:created,1000,0.0193,35.1351,35.1351
nhd:reach_code,996,0.0192,546.7532,546.7532
frontage_road,994,0.0192,24750.0,24750.0
NHS,960,0.0185,26.9841,26.9841
addr:country,953,0.0184,225.256,225.256
tiger:zip_left_1,940,0.0181,68.7612,68.7612
attribution,931,0.018,281.5574,281.5574
noref,930,0.0179,18500.0,18500.0
line,926,0.0179,40.303,40.303
place,906,0.0175,45.6592,45.6592
gnis:state_id,865,0.0167,27.2059,27.2059
gnis:county_id,863,0.0166,26.9118,26.9118
height,857,0.0165,355.8511,355.8511
nhd:com_id,823,0.0159,456.0811,456.0811
water,811,0.0156,156.6456,156.6456
hgv,774,0.0149,123.6994,123.6994
cuisine,734,0.0142,67.5799,67.5799
motor_vehicle,728,0.014,19.5402,19.5402
gauge,714,0.0138,-81.795,-81.795
smoothness,708,0.0137,3833.3333,3833.3333
basin,672,0.013,3633.3333,3633.3333
width,655,0.0126,474.5614,474.5614
noexit,637,0.0123,696.25,696.25
tourism,629,0.0121,91.7683,91.7683
name:en,625,0.0121,186.6972,186.6972
lanes:forward,621,0.012,42.4312,42.4312
lanes:backward,607,0.0117,42.4883,42.4883
tracktype,589,0.0114,367.4603,367.4603
maxspeed:type,580,0.0112,14400.0,14400.0
description,574,0.0111,93.266,93.266
nature,565,0.0109,14025.0,14025.0
hov,551,0.0106,257.7922,257.7922
sidewalk,544,0.0105,176.1421,176.1421
boundary,521,0.01,-44.2781,-44.2781
admin_level,513,0.0099,-35.3904,-35.3904
FIXME,513,0.0099,97.3077,97.3077
tiger:name_direction_suffix,507,0.0098,186.4407,186.4407
parking,503,0.0097,63.3117,63.3117
cycleway,498,0.0096,98.4064,98.4064
religion,497,0.0096,187.2832,187.2832
location,493,0.0095,360.7477,360.7477
PASS_route,482,0.0093,113.2743,113.2743
golf,467,0.009,17.0426,17.0426
Texas_Trunk_System,455,0.0088,158.5227,158.5227
source:Texas_Trunk_System,455,0.0088,160.0,160.0
ford,435,0.0084,322.3301,322.3301
old_name,427,0.0082,-1.8391,-1.8391
tiger:name_direction_prefix_1,424,0.0082,77.4059,77.4059
healthcare,423,0.0082,10475.0,10475.0
wikidata,399,0.0077,0.0,0.0
alt_name,395,0.0076,65.272,65.272
turn:lanes:forward,393,0.0076,73.1278,73.1278
name_2,388,0.0075,105.291,105.291
construction,380,0.0073,142.0382,142.0382
seamark:type,379,0.0073,9375.0,9375.0
type,377,0.0073,1246.4286,1246.4286
voltage:primary,377,0.0073,1042.4242,1042.4242
voltage:secondary,377,0.0073,1042.4242,1042.4242
border_type,369,0.0071,-45.1709,-45.1709
tiger:name_direction_suffix_1,360,0.0069,224.3243,224.3243
area,355,0.0068,65.8879,65.8879
building:roof,355,0.0068,8775.0,8775.0
turn:lanes:backward,353,0.0068,52.1552,52.1552
source_ref,350,0.0067,89.1892,89.1892
postal_code,348,0.0067,-25.1613,-25.1613
building:material,334,0.0064,8250.0,8250.0
substation,329,0.0063,23.221,23.221
addr:full,327,0.0063,3987.5,3987.5
tower:type,315,0.0061,1212.5,1212.5
aeroway,315,0.0061,-70.0285,-70.0285
hgv:national_network,312,0.006,149.6,149.6
tiger:zip_right_1,312,0.006,84.6154,84.6154
fixme,307,0.0059,-2.8481,-2.8481
gnis:id,299,0.0058,-13.0814,-13.0814
building:condition,297,0.0057,7325.0,7325.0
residential,294,0.0057,818.75,818.75
placement,287,0.0055,14.3426,14.3426
fut_ref,283,0.0055,229.0698,229.0698
motorcycle,271,0.0052,129.661,129.661
usage,256,0.0049,-41.8182,-41.8182
generator:source,255,0.0049,-1.5444,-1.5444
name:el,255,0.0049,493.0233,493.0233
generator:method,254,0.0049,-1.9305,-1.9305
addr:unit,252,0.0049,1100.0,1100.0
generator:output:electricity,249,0.0048,0.8097,0.8097
generator:type,244,0.0047,-3.5573,-3.5573
capacity:disabled,240,0.0046,1400.0,1400.0
email,235,0.0045,240.5797,240.5797
office,228,0.0044,165.1163,165.1163
wikipedia,225,0.0043,4.1667,4.1667
disabled,224,0.0043,5500.0,5500.0
emergency,223,0.0043,139.7849,139.7849
ref:walmart,223,0.0043,5475.0,5475.0
covered,222,0.0043,469.2308,469.2308
note:lanes,222,0.0043,1205.8824,1205.8824
tiger:name_base_3,216,0.0042,222.3881,222.3881
name:es,215,0.0041,2971.4286,2971.4286
name:fr,213,0.0041,610.0,610.0
expressway,211,0.0041,134.4444,134.4444
name:de,211,0.0041,1407.1429,1407.1429
denomination,209,0.004,161.25,161.25
traffic_signals,209,0.004,-34.4828,-34.4828
gnis:county_name,208,0.004,108.0,108.0
segregated,199,0.0038,148.75,148.75
toll_method,199,0.0038,20.6061,20.6061
manufacturer,198,0.0038,-3.4146,-3.4146
old_railway_operator,194,0.0037,-60.8871,-60.8871
int_ref,194,0.0037,823.8095,823.8095
smoking,192,0.0037,269.2308,269.2308
fee,189,0.0036,70.2703,70.2703
wheelchair,187,0.0036,101.0753,101.0753
nat_name,186,0.0036,4550.0,4550.0
traffic_calming,176,0.0034,225.9259,225.9259
outdoor_seating,176,0.0034,300.0,300.0
junction,175,0.0034,-20.4545,-20.4545
tiger:name_direction_suffix_2,175,0.0034,872.2222,872.2222
building:part,174,0.0034,159.7015,159.7015
shelter_type,164,0.0032,507.4074,507.4074
aerialway,153,0.003,1812.5,1812.5
turn:lanes:both_ways,149,0.0029,88.6076,88.6076
loc_name,148,0.0029,-58.6592,-58.6592
lanes:both_ways,145,0.0028,70.5882,70.5882
direction,144,0.0028,-12.1951,-12.1951
switch,144,0.0028,3500.0,3500.0
electrified,140,0.0027,-49.8208,-49.8208
boat,137,0.0026,185.4167,185.4167
gnis:feature_type,131,0.0025,114.7541,114.7541
historic,126,0.0024,38.4615,38.4615
communication:mobile_phone,126,0.0024,3050.0,3050.0
school:type_idn,126,0.0024,3050.0,3050.0
destination:street,125,0.0024,941.6667,941.6667
substance,123,0.0024,925.0,925.0
source:name,123,0.0024,70.8333,70.8333
entrance,120,0.0023,300.0,300.0
hazmat,119,0.0023,271.875,271.875
playground,114,0.0022,1166.6667,1166.6667
sign,112,0.0022,2700.0,2700.0
tiger:state_id,110,0.0021,8.9109,8.9109
level,110,0.0021,144.4444,144.4444
name:zh,107,0.0021,435.0,435.0
tiger:source,105,0.002,-78.7018,-78.7018
tiger:tlid,105,0.002,-78.1705,-78.1705
roof:shape,105,0.002,356.5217,356.5217
takeaway,105,0.002,105.8824,105.8824
tiger:separated,103,0.002,-78.3613,-78.3613
wetland,102,0.002,684.6154,684.6154
bus,99,0.0019,20.7317,20.7317
name:etymology:wikidata,99,0.0019,2375.0,2375.0
start_date,97,0.0019,73.2143,73.2143
gnis:County,97,0.0019,-67.5585,-67.5585
gnis:County_num,97,0.0019,-67.5585,-67.5585
gnis:ST_alpha,97,0.0019,-67.7741,-67.7741
gnis:ST_num,97,0.0019,-67.7741,-67.7741
drive_through,97,0.0019,106.383,106.383
embankment,95,0.0018,400.0,400.0
name:zh_pinyin,93,0.0018,564.2857,564.2857
tiger:name_direction_prefix_2,93,0.0018,200.0,200.0
fax,92,0.0018,87.7551,87.7551
src:id,91,0.0018,468.75,468.75
capacity,88,0.0017,131.5789,131.5789
backrest,87,0.0017,74.0,74.0
gnis:Class,87,0.0017,-71.0,-71.0
tiger:zip_left_2,87,0.0017,-54.2105,-54.2105
import_uuid,86,0.0017,-71.3333,-71.3333
roof:height,84,0.0016,394.1176,394.1176
tiger:name_type_3,84,0.0016,500.0,500.0
brand,83,0.0016,107.5,107.5
building:colour,82,0.0016,115.7895,115.7895
roof:colour,82,0.0016,1950.0,1950.0
building:structure,80,0.0015,1900.0,1900.0
payment:cash,79,0.0015,887.5,887.5
noname,78,0.0015,-57.6087,-57.6087
incline,76,0.0015,130.303,130.303
source:maxspeed,76,0.0015,162.069,162.069
gnis:import_uuid,76,0.0015,80.9524,80.9524
scvwd:ROUTEID,75,0.0014,1150.0,1150.0
motorcar,75,0.0014,36.3636,36.3636
gnis:reviewed,74,0.0014,85.0,85.0
supervised,74,0.0014,60.8696,60.8696
park_ride,65,0.0013,25.0,25.0
craft,65,0.0013,400.0,400.0
payment:credit_cards,62,0.0012,588.8889,588.8889
cutting,61,0.0012,238.8889,238.8889
dispensing,61,0.0012,1425.0,1425.0
cycleway:both,60,0.0012,1400.0,1400.0
leaf_type,60,0.0012,20.0,20.0
compensator,59,0.0011,118.5185,118.5185
gns:id,58,0.0011,346.1538,346.1538
destination:ref:lanes,58,0.0011,1350.0,1350.0
fence_type,58,0.0011,-19.4444,-19.4444
delivery,58,0.0011,81.25,81.25
operator:type,54,0.001,671.4286,671.4286
destination:lanes,54,0.001,1250.0,1250.0
public_transport,53,0.001,-41.7582,-41.7582
healthcare:speciality,53,0.001,1225.0,1225.0
old_ref:pre_1939,53,0.001,960.0,960.0
proposed,53,0.001,-56.9106,-56.9106
railway:signal:direction,52,0.001,1200.0,1200.0
tiger:upload_uuid,51,0.001,-1.9231,-1.9231
landcover,51,0.001,240.0,240.0
gnis:edited,50,0.001,61.2903,61.2903
traffic_sign,50,0.001,1150.0,1150.0
toll:hov,50,0.001,163.1579,163.1579
social_facility,50,0.001,733.3333,733.3333
passenger_lines,49,0.0009,880.0,880.0
leaf_cycle,48,0.0009,17.0732,17.0732
internet_access,48,0.0009,-14.2857,-14.2857
payment:mastercard,48,0.0009,585.7143,585.7143
destination:ref:to,47,0.0009,1075.0,1075.0
payment:visa,47,0.0009,571.4286,571.4286
railway:etcs,47,0.0009,1075.0,1075.0
history,46,0.0009,119.0476,119.0476
kerb,46,0.0009,64.2857,64.2857
addr:suburb,44,0.0008,633.3333,633.3333
exit_to,44,0.0008,41.9355,41.9355
access:bus,43,0.0008,207.1429,207.1429
beauty,43,0.0008,437.5,437.5
traffic_signals:direction,43,0.0008,975.0,975.0
artwork_type,42,0.0008,121.0526,121.0526
maxspeed:advisory,42,0.0008,121.0526,121.0526
payment:american_express,42,0.0008,740.0,740.0
shoulder,42,0.0008,320.0,320.0
building:floor,42,0.0008,950.0,950.0
owner,41,0.0008,-43.0556,-43.0556
roof:direction,41,0.0008,925.0,925.0
tiger:STATEFP,40,0.0008,-48.0519,-48.0519
beds,40,0.0008,900.0,900.0
name_3,40,0.0008,900.0,900.0
survey:date,40,0.0008,900.0,900.0
tiger:MTFCC,39,0.0008,-49.3506,-49.3506
bench,39,0.0008,254.5455,254.5455
fitness_station,38,0.0007,850.0,850.0
tiger:CLASSFP,36,0.0007,-53.2468,-53.2468
tiger:CPI,36,0.0007,-53.2468,-53.2468
tiger:FUNCSTAT,36,0.0007,-53.2468,-53.2468
tiger:LSAD,36,0.0007,-53.2468,-53.2468
tiger:NAME,36,0.0007,-53.2468,-53.2468
tiger:NAMELSAD,36,0.0007,-53.2468,-53.2468
tiger:PCICBSA,36,0.0007,-53.2468,-53.2468
tiger:PCINECTA,36,0.0007,-53.2468,-53.2468
tiger:PLACEFP,36,0.0007,-53.2468,-53.2468
tiger:PLACENS,36,0.0007,-53.2468,-53.2468
tiger:PLCIDFP,36,0.0007,-53.2468,-53.2468
nat_ref,36,0.0007,800.0,800.0
trail_visibility,35,0.0007,9.375,9.375
plant:output:electricity,35,0.0007,118.75,118.75
plant:source,35,0.0007,133.3333,133.3333
atm,35,0.0007,45.8333,45.8333
manhole,35,0.0007,775.0,775.0
abandoned:power,34,0.0007,466.6667,466.6667
tiger:zip_right_2,34,0.0007,-27.6596,-27.6596
building:height,33,0.0006,371.4286,371.4286
faa,33,0.0006,450.0,450.0
payment:discover_card,32,0.0006,540.0,540.0
leisure_1,31,0.0006,287.5,287.5
note:old_railway_operator,31,0.0006,-50.0,-50.0
product,31,0.0006,675.0,675.0
brand:wikidata,30,0.0006,400.0,400.0
tiger:mtfcc,30,0.0006,-79.5918,-79.5918
dog,29,0.0006,480.0,480.0
payment:cheque,29,0.0006,625.0,625.0
tract_geoid,29,0.0006,625.0,625.0
name:it,29,0.0006,625.0,625.0
