key,value,count,percent_of_total_changes_for_key,percent_difference_from_pre,percent_difference_from_pre_day
amenity,school,3113,12.7744,0.0,0.0
amenity,parking,2954,12.122,0.0,0.0
amenity,place_of_worship,2580,10.5872,0.0,0.0
amenity,pharmacy,1923,7.8912,0.0,0.0
amenity,drinking_water,1641,6.734,0.0,0.0
amenity,restaurant,1348,5.5316,0.0,0.0
amenity,toilets,937,3.845,0.0,0.0
amenity,hospital,564,2.3144,0.0,0.0
amenity,fuel,562,2.3062,0.0,0.0
amenity,bench,557,2.2857,0.0,0.0
building,yes,761852,94.9309,0.0,0.0
building,construction,13595,1.694,0.0,0.0
building,house,7900,0.9844,0.0,0.0
building,residential,5876,0.7322,0.0,0.0
building,commercial,2957,0.3685,0.0,0.0
building,apartments,2262,0.2819,0.0,0.0
building,school,1327,0.1654,0.0,0.0
building,church,657,0.0819,0.0,0.0
building,industrial,576,0.0718,0.0,0.0
building,roof,558,0.0695,0.0,0.0
emergency,fire_hydrant,171,30.4813,0.0,0.0
emergency,no,157,27.9857,0.0,0.0
emergency,yes,73,13.0125,0.0,0.0
emergency,phone,63,11.2299,0.0,0.0
emergency,defibrillator,33,5.8824,0.0,0.0
emergency,assembly_point,25,4.4563,0.0,0.0
emergency,ambulance_station,13,2.3173,0.0,0.0
emergency,emergency_ward_entrance,9,1.6043,0.0,0.0
emergency,destination,7,1.2478,0.0,0.0
emergency,landing_site,3,0.5348,0.0,0.0
highway,residential,84213,29.8354,0.0,0.0
highway,unclassified,40259,14.2631,0.0,0.0
highway,service,31211,11.0576,0.0,0.0
highway,track,23809,8.4352,0.0,0.0
highway,tertiary,14726,5.2172,0.0,0.0
highway,footway,14187,5.0262,0.0,0.0
highway,secondary,13103,4.6422,0.0,0.0
highway,path,11452,4.0573,0.0,0.0
highway,primary,7656,2.7124,0.0,0.0
highway,crossing,6072,2.1512,0.0,0.0
landuse,residential,5729,38.7278,0.0,0.0
landuse,farmland,2416,16.332,0.0,0.0
landuse,grass,1325,8.9569,0.0,0.0
landuse,forest,836,5.6513,0.0,0.0
landuse,industrial,784,5.2998,0.0,0.0
landuse,cemetery,581,3.9275,0.0,0.0
landuse,orchard,525,3.549,0.0,0.0
landuse,farmyard,297,2.0077,0.0,0.0
landuse,construction,291,1.9671,0.0,0.0
landuse,commercial,253,1.7103,0.0,0.0
leisure,swimming_pool,2296,34.2738,0.0,0.0
leisure,park,1881,28.0788,0.0,0.0
leisure,pitch,1245,18.5849,0.0,0.0
leisure,playground,391,5.8367,0.0,0.0
leisure,garden,181,2.7019,0.0,0.0
leisure,sports_centre,151,2.2541,0.0,0.0
leisure,common,120,1.7913,0.0,0.0
leisure,picnic_table,48,0.7165,0.0,0.0
leisure,fitness_centre,44,0.6568,0.0,0.0
leisure,stadium,35,0.5225,0.0,0.0
name,महेन्द्र राज्मार्ग्,553,0.4448,0.0,0.0
name,Jalan,392,0.3153,0.0,0.0
name,North Freeway Frontage Road,220,0.177,0.0,0.0
name,Northwest Freeway Frontage Road,217,0.1746,0.0,0.0
name,İzmir Çevre Yolu,214,0.1721,0.0,0.0
name,Tangenziale di Bologna,206,0.1657,0.0,0.0
name,Corner Store,203,0.1633,0.0,0.0
name,West Grand Parkway South,198,0.1593,0.0,0.0
name,Via Emilia,196,0.1577,0.0,0.0
name,Rüzgâr Türbini,196,0.1577,0.0,0.0
natural,tree,5241,38.9607,0.0,0.0
natural,water,2399,17.8338,0.0,0.0
natural,wood,1513,11.2474,0.0,0.0
natural,coastline,975,7.248,0.0,0.0
natural,glacier,650,4.832,0.0,0.0
natural,sand,429,3.1891,0.0,0.0
natural,peak,411,3.0553,0.0,0.0
natural,scrub,377,2.8026,0.0,0.0
natural,tree_row,311,2.3119,0.0,0.0
natural,grassland,213,1.5834,0.0,0.0
source,bing,19392,16.0422,0.0,0.0
source,digitalglobe,15163,12.5437,0.0,0.0
source,Bing,11079,9.1652,0.0,0.0
source,Digital Globe 2015 Canaan Haiti,7367,6.0944,0.0,0.0
source,Survey-ARC,5431,4.4928,0.0,0.0
source,http://www.tper.it/azienda/tper-open-data,4376,3.6201,0.0,0.0
source,microsoft/BuildingFootprints,4304,3.5605,0.0,0.0
source,Regione Emilia Romagna,4208,3.4811,0.0,0.0
source,"<différent>,UAV,IOM,COSMHA,SIGHA",4120,3.4083,0.0,0.0
source,maxar Premium,2809,2.3238,0.0,0.0
surface,asphalt,24069,49.0703,0.0,0.0
surface,unpaved,7436,15.16,0.0,0.0
surface,ground,5681,11.5821,0.0,0.0
surface,paved,2810,5.7288,0.0,0.0
surface,concrete:plates,1752,3.5719,0.0,0.0
surface,dirt,1610,3.2824,0.0,0.0
surface,concrete,1532,3.1233,0.0,0.0
surface,gravel,1002,2.0428,0.0,0.0
surface,paving_stones,936,1.9083,0.0,0.0
surface,sett,455,0.9276,0.0,0.0
waterway,stream,8132,50.9907,0.0,0.0
waterway,river,5027,31.5212,0.0,0.0
waterway,drain,1064,6.6717,0.0,0.0
waterway,canal,638,4.0005,0.0,0.0
waterway,ditch,557,3.4926,0.0,0.0
waterway,riverbank,386,2.4204,0.0,0.0
waterway,dam,62,0.3888,0.0,0.0
waterway,waterfall,24,0.1505,0.0,0.0
waterway,weir,22,0.1379,0.0,0.0
waterway,lock_gate,13,0.0815,0.0,0.0
