key,value,count,percent_of_total_changes_for_key,percent_difference_from_pre,percent_difference_from_pre_day
amenity,hospital,4804,41.3425,855.0696,11520.0133
amenity,drinking_water,2362,20.327,47.0735,1689.3939
amenity,school,1176,10.1205,-48.6911,524.2583
amenity,place_of_worship,656,5.6454,-65.3826,321.1785
amenity,parking,297,2.5559,-85.3188,78.6209
amenity,restaurant,174,1.4974,-82.7038,110.4374
amenity,bicycle_parking,130,1.1188,-65.3333,321.7778
amenity,public_building,125,1.0757,45.3488,1668.4109
amenity,fuel,114,0.9811,-62.8664,351.7915
amenity,bench,98,0.8434,-83.2192,104.1667
amenity,cafe,88,0.7573,-76.5333,185.5111
amenity,bank,86,0.7401,-77.4869,173.9092
amenity,shelter,86,0.7401,-69.395,272.3606
amenity,police,75,0.6454,-49.3243,516.5541
amenity,grave_yard,73,0.6282,114.7059,2512.2549
amenity,recycling,68,0.5852,-76.4706,186.2745
amenity,waste_basket,65,0.5594,-69.3396,273.0346
amenity,college,65,0.5594,-64.0884,336.9245
amenity,pharmacy,63,0.5422,-87.1951,55.7927
amenity,clinic,58,0.4991,-66.6667,305.5556
amenity,bar,55,0.4733,-73.1707,226.4228
amenity,dispensary,47,0.4045,571.4286,8069.0476
amenity,bus_station,41,0.3528,-25.4545,806.9697
amenity,studio,41,0.3528,36.6667,1562.7778
amenity,embassy,38,0.327,-28.3019,772.327
building,yes,1536210,93.3972,245.4408,4102.8637
building,house,77309,4.7002,1033.563,13691.6838
building,residential,18298,1.1125,233.9051,3962.5122
building,collapsed,6663,0.4051,11193.2203,137300.8475
building,construction,831,0.0505,-93.8987,-25.7673
building,industrial,674,0.041,58.5882,1829.4902
building,apartments,565,0.0344,-42.6978,597.1771
building,commercial,425,0.0258,-85.0141,82.3284
building,school,385,0.0234,-60.0208,386.414
building,collapse,369,0.0224,5171.4286,64035.7143
building,hut,364,0.0221,506.6667,7281.1111
building,greenhouse,334,0.0203,104.908,2393.047
building,building,320,0.0195,4471.4286,55519.0476
building,shed,295,0.0179,353.8462,5421.7949
building,detached,206,0.0125,19.0751,1348.7476
building,<different>,176,0.0107,2414.2857,30490.4762
building,undefined,93,0.0057,1228.5714,16064.2857
building,terrace,86,0.0052,244.0,4085.3333
building,farm_auxiliary,85,0.0052,1114.2857,14673.8095
building,brownfield,70,0.0043,900.0,12066.6667
building,hospital,69,0.0042,-71.3693,248.3402
building,roof,64,0.0039,-79.3548,151.1828
building,unclassified,64,0.0039,814.2857,11023.8095
building,church,59,0.0036,-90.2801,18.2592
building,ruin,46,0.0028,557.1429,7895.2381
emergency,yes,34,57.6271,-74.6269,208.7065
emergency,defibrillator,5,8.4746,-86.8421,60.0877
emergency,no,5,8.4746,-96.9136,-62.4486
emergency,emergency_ward_entrance,4,6.7797,-73.3333,224.4444
emergency,assembly_point,3,5.0847,-90.3226,17.7419
emergency,fire_hydrant,3,5.0847,-98.1818,-77.8788
emergency,helipad,2,3.3898,-71.4286,247.619
emergency,landing_site,2,3.3898,-77.7778,170.3704
emergency,hostel,1,1.6949,-85.7143,73.8095
highway,path,96703,28.1948,931.939,12455.2574
highway,track,64191,18.7156,422.3877,6255.717
highway,unclassified,62738,18.2919,321.683,5030.4768
highway,road,38139,11.1198,1843.8838,23550.5861
highway,residential,33916,9.8886,27.8643,1455.6821
highway,footway,13355,3.8938,29.824,1479.5259
highway,service,10337,3.0139,49.4434,1718.228
highway,tertiary,7531,2.1957,8.0643,1214.7821
highway,secondary,4675,1.363,0.6892,1125.052
highway,primary,4350,1.2683,-41.8682,607.2698
highway,trunk,1850,0.5394,-47.3534,540.5331
highway,pedestrian,903,0.2633,8.0144,1214.1746
highway,crossing,893,0.2604,-89.7191,25.0844
highway,ford,704,0.2053,4928.5714,61080.9524
highway,cycleway,458,0.1335,-86.8012,60.586
highway,steps,320,0.0933,-43.761,584.2414
highway,living_street,206,0.0601,-35.0158,690.6414
highway,platform,205,0.0598,-90.9332,10.3125
highway,bus_stop,204,0.0595,-94.8524,-37.3707
highway,traffic_signals,186,0.0542,-83.5252,100.4429
highway,yes,171,0.0499,1040.0,13770.0
highway,bridleway,116,0.0338,625.0,8720.8333
highway,turning_circle,87,0.0254,19.1781,1350.0
highway,motorway,83,0.0242,-65.5602,319.018
highway,street_lamp,76,0.0222,-88.9213,34.7911
landuse,residential,57985,67.8052,1313.2342,17094.3497
landuse,brownfield,13995,16.3652,31000.0,378283.3333
landuse,farmland,5504,6.4361,195.914,3500.2867
landuse,forest,2963,3.4648,375.6019,5686.4901
landuse,farmyard,810,0.9472,185.2113,3370.0704
landuse,farm,801,0.9367,693.0693,9549.0099
landuse,grass,637,0.7449,-11.2813,979.4104
landuse,industrial,497,0.5812,-2.3576,1087.983
landuse,reservoir,362,0.4233,316.092,4962.4521
landuse,basin,303,0.3543,244.3182,4089.2045
landuse,cemetery,274,0.3204,91.6084,2231.2354
landuse,meadow,170,0.1988,-7.1038,1030.2368
landuse,orchard,161,0.1883,-52.7859,474.4379
landuse,greenfield,132,0.1544,428.0,6324.0
landuse,allotments,126,0.1473,366.6667,5577.7778
landuse,greenhouse_horticulture,114,0.1333,216.6667,3752.7778
landuse,quarry,100,0.1169,212.5,3702.0833
landuse,commercial,81,0.0947,-47.7419,535.8065
landuse,construction,61,0.0713,-78.0576,166.9664
landuse,retail,49,0.0573,-12.5,964.5833
landuse,recreation_ground,44,0.0515,62.963,1882.716
landuse,conservation,38,0.0444,192.3077,3456.4103
landuse,military,34,0.0398,-32.0,727.3333
landuse,salt_pond,33,0.0386,-78.5714,160.7143
landuse,yes,27,0.0316,-37.2093,663.9535
leisure,common,4956,82.0802,3995.8678,49733.0579
leisure,park,411,6.8069,-47.7764,535.3875
leisure,pitch,372,6.161,-22.3382,844.8852
leisure,swimming_pool,98,1.6231,-4.8544,1057.6052
leisure,playground,58,0.9606,-65.4762,320.0397
leisure,garden,27,0.4472,-80.8511,132.9787
leisure,yes,26,0.4306,271.4286,4419.0476
leisure,sports_centre,16,0.265,-82.2222,116.2963
leisure,picnic_table,15,0.2484,-65.9091,314.7727
leisure,slipway,11,0.1822,-15.3846,929.4872
