key,value,count,percent_of_total_changes_for_key
amenity,school,4869,17.9502
amenity,hospital,3305,12.1843
amenity,parking,2219,8.1806
amenity,parking_space,1607,5.9244
amenity,restaurant,1444,5.3235
amenity,toilets,1077,3.9705
amenity,place_of_worship,1017,3.7493
amenity,bench,900,3.318
amenity,drinking_water,825,3.0415
amenity,bicycle_parking,552,2.035
amenity,cafe,549,2.024
amenity,waste_basket,478,1.7622
amenity,fuel,451,1.6627
amenity,shower,439,1.6184
amenity,bar,424,1.5631
amenity,fast_food,419,1.5447
amenity,recycling,414,1.5263
amenity,bank,410,1.5115
amenity,kindergarten,401,1.4783
amenity,pharmacy,382,1.4083
amenity,college,324,1.1945
amenity,police,264,0.9733
amenity,shelter,231,0.8516
amenity,university,217,0.8
amenity,street_light,182,0.671
building,yes,367100,94.9452
building,house,5556,1.437
building,residential,4571,1.1822
building,apartments,1125,0.291
building,construction,893,0.231
building,tent,777,0.201
building,collapsed,702,0.1816
building,shelter,492,0.1272
building,industrial,460,0.119
building,school,454,0.1174
building,non_waterproof_shelter,449,0.1161
building,building_sheet_metal,388,0.1004
building,building_concrete,333,0.0861
building,church,300,0.0776
building,commercial,285,0.0737
building,roof,254,0.0657
building,building_wood,253,0.0654
building,waterproof_shelter,246,0.0636
building,greenhouse,240,0.0621
building,retail,150,0.0388
building,service,148,0.0383
building,detached,95,0.0246
building,hotel,89,0.023
building,office,76,0.0197
building,public,73,0.0189
highway,residential,38656,22.5231
highway,path,24801,14.4504
highway,tertiary,19589,11.4136
highway,unclassified,16070,9.3633
highway,footway,14330,8.3495
highway,track,14264,8.311
highway,service,10549,6.1464
highway,secondary,7939,4.6257
highway,primary,5017,2.9232
highway,crossing,4872,2.8387
highway,cycleway,3311,1.9292
highway,road,1998,1.1641
highway,bus_stop,1672,0.9742
highway,platform,1224,0.7132
highway,pedestrian,1047,0.61
highway,trunk,957,0.5576
highway,steps,702,0.409
highway,traffic_signals,521,0.3036
highway,living_street,442,0.2575
highway,give_way,422,0.2459
highway,trunk_link,422,0.2459
highway,construction,366,0.2133
highway,ford,253,0.1474
highway,street_lamp,185,0.1078
highway,primary_link,182,0.106
landuse,residential,12397,33.2716
landuse,brownfield,10430,27.9925
landuse,farmland,7532,20.2147
landuse,grass,1956,5.2496
landuse,forest,783,2.1014
landuse,industrial,626,1.6801
landuse,basin,577,1.5486
landuse,orchard,452,1.2131
landuse,farm,285,0.7649
landuse,farmyard,240,0.6441
landuse,cemetery,228,0.6119
landuse,meadow,220,0.5904
landuse,vineyard,206,0.5529
landuse,commercial,181,0.4858
landuse,construction,178,0.4777
landuse,greenfield,132,0.3543
landuse,retail,131,0.3516
landuse,reservoir,99,0.2657
landuse,quarry,68,0.1825
landuse,military,66,0.1771
landuse,farming,51,0.1369
landuse,landfill,50,0.1342
landuse,grave_yard,49,0.1315
landuse,allotments,47,0.1261
landuse,railway,44,0.1181
name,Bologna Centrale,507,0.4355
name,Via Toscana,413,0.3547
name,Via Emilia Ponente,304,0.2611
name,Via San Donato,289,0.2482
name,Obstacle,281,0.2414
name,Via Emilia Levante,243,0.2087
name,Via del Triumvirato,224,0.1924
name,Via Augusto Murri,218,0.1873
name,Via Francesco Zanardi,193,0.1658
name,Abres,182,0.1563
name,Via Emilia,175,0.1503
name,Viale Felsina,174,0.1495
name,Via Stalingrado,171,0.1469
name,Strada statale 253 bis Trasversale di Pianura,169,0.1452
name,Abre,166,0.1426
name,Via Giuseppe Dozza,153,0.1314
name,Viale della Repubblica,142,0.122
name,Via Andrea Costa,133,0.1142
name,Ecole  Primaire,125,0.1074
name,Route Nationale # 7,125,0.1074
name,Arbre,124,0.1065
name,Via Due Madonne,115,0.0988
name,Rue La Paix,114,0.0979
name,Ferrovia Bologna – Ancona,113,0.0971
name,Via Giuseppe Massarenti,113,0.0971
natural,tree,76713,88.0302
natural,wood,4481,5.1421
natural,water,1686,1.9347
natural,tree_row,967,1.1097
natural,scrub,835,0.9582
natural,sand,447,0.5129
natural,peak,375,0.4303
natural,shingle,343,0.3936
natural,grassland,197,0.2261
natural,wetland,157,0.1802
natural,heath,155,0.1779
natural,bare_rock,117,0.1343
natural,coastline,106,0.1216
natural,scree,85,0.0975
natural,beach,66,0.0757
natural,riverbed,51,0.0585
natural,cliff,51,0.0585
natural,plant,46,0.0528
natural,ridge,41,0.047
natural,shrub,40,0.0459
natural,gully,26,0.0298
natural,cave_entrance,22,0.0252
natural,glacier,19,0.0218
natural,bay,16,0.0184
natural,mud,14,0.0161
source,"Google, 2010-01-21",20624,14.0148
source,CNIGS/OIM/ FOCS,16945,11.5148
source,CNIGS/OIM/FOCS,13805,9.381
source,Bing,10778,7.3241
source,bing,7320,4.9742
source,GeoEye,6079,4.1309
source,Regione Emilia Romagna,5037,3.4228
source,Comune di Bologna,4961,3.3712
source,CNIGS/GIS/DTM,2987,2.0298
source,CCCM,2686,1.8252
source,"WorldView-2, DigitalGlobe, 2010-01-21",2599,1.7661
source,hot_iom_c.osm-ha,2540,1.726
source,http://www.tper.it/azienda/tper-open-data,2283,1.5514
source,haiti-tlm-50,2023,1.3747
source,hot_oim_che116,1937,1.3163
source,http://dati.emilia-romagna.it/dato/item/11-11-uso-del-suolo-2008.html,1586,1.0777
source,"DigitalGlobe;WorldView-2, DigitalGlobe, 2010-01-20",1556,1.0574
source,Google 2010-01-17,1400,0.9514
source,Digital Globe Maps API,1233,0.8379
source,"WorldBank, 2010-01-22",1199,0.8148
source,Cosmha/Cartong,1156,0.7855
source,"Google, 2010-01-17",1113,0.7563
source,NextView,997,0.6775
source,"WorldView-2, DigitalGlobe, 2010-01-20",992,0.6741
source,DigitalGlobe,937,0.6367
surface,asphalt,29192,53.9843
surface,Dirt/Sand,4701,8.6935
surface,unpaved,4352,8.0481
