key,value,count,percent_of_total_changes_for_key,percent_difference_from_pre,percent_difference_from_pre_day
amenity,school,4856,18.7868,126.3869,126.3869
amenity,hospital,3303,12.7786,675.3521,675.3521
amenity,parking,2094,8.1012,10.5597,10.5597
amenity,restaurant,1357,5.2499,38.6108,38.6108
amenity,toilets,1076,4.1628,24.826,24.826
amenity,place_of_worship,1008,3.8997,-44.7974,-44.7974
amenity,parking_space,899,3.478,1283.0769,1283.0769
amenity,bench,837,3.2382,70.4684,70.4684
amenity,drinking_water,825,3.1917,-48.2434,-48.2434
amenity,bicycle_parking,526,2.035,40.6417,40.6417
amenity,cafe,519,2.0079,43.3702,43.3702
amenity,waste_basket,476,1.8415,124.5283,124.5283
amenity,fuel,449,1.7371,55.9028,55.9028
amenity,shower,439,1.6984,138.587,138.587
amenity,kindergarten,401,1.5514,117.9348,117.9348
amenity,fast_food,397,1.5359,92.7184,92.7184
amenity,bank,397,1.5359,7.5881,7.5881
amenity,bar,395,1.5282,108.9947,108.9947
amenity,recycling,384,1.4856,33.3333,33.3333
amenity,pharmacy,361,1.3966,-19.0583,-19.0583
amenity,college,323,1.2496,80.4469,80.4469
amenity,police,263,1.0175,85.2113,85.2113
amenity,shelter,217,0.8395,-22.2222,-22.2222
amenity,university,217,0.8395,88.6957,88.6957
amenity,street_light,182,0.7041,2500.0,2500.0
amenity,fountain,150,0.5803,257.1429,257.1429
amenity,library,149,0.5764,-43.7736,-43.7736
amenity,community_centre,141,0.5455,56.6667,56.6667
amenity,charging_station,128,0.4952,-4.4776,-4.4776
amenity,atm,124,0.4797,29.1667,29.1667
amenity,ice_cream,113,0.4372,54.7945,54.7945
amenity,clinic,112,0.4333,-29.5597,-29.5597
amenity,tap,108,0.4178,83.0508,83.0508
amenity,grave_yard,93,0.3598,232.1429,232.1429
amenity,ctc,92,0.3559,384.2105,384.2105
amenity,public_building,88,0.3405,2.3256,2.3256
amenity,waste_disposal,83,0.3211,-6.7416,-6.7416
amenity,marketplace,79,0.3056,-13.1868,-13.1868
amenity,motorcycle_parking,78,0.3018,100.0,100.0
amenity,community_information_kiosk,78,0.3018,1014.2857,1014.2857
amenity,vending_machine,77,0.2979,-12.5,-12.5
amenity,pub,70,0.2708,112.1212,112.1212
amenity,townhall,70,0.2708,100.0,100.0
amenity,social_centre,65,0.2515,712.5,712.5
amenity,studio,65,0.2515,209.5238,209.5238
amenity,utc,64,0.2476,93.9394,93.9394
amenity,dentist,58,0.2244,11.5385,11.5385
amenity,car_wash,55,0.2128,77.4194,77.4194
amenity,post_office,55,0.2128,-33.7349,-33.7349
amenity,bus_station,54,0.2089,0.0,0.0
amenity,doctors,51,0.1973,10.8696,10.8696
amenity,parking_entrance,50,0.1934,6.383,6.383
amenity,nightclub,47,0.1818,74.0741,74.0741
amenity,cro,47,0.1818,80.7692,80.7692
amenity,cinema,44,0.1702,-20.0,-20.0
amenity,embassy,42,0.1625,-12.5,-12.5
amenity,social_facility,40,0.1548,14.2857,14.2857
amenity,market,39,0.1509,457.1429,457.1429
amenity,car_rental,35,0.1354,59.0909,59.0909
amenity,veterinary,35,0.1354,-12.5,-12.5
amenity,arts_centre,35,0.1354,16.6667,16.6667
amenity,theatre,34,0.1315,61.9048,61.9048
amenity,taxi,34,0.1315,112.5,112.5
amenity,childcare,31,0.1199,55.0,55.0
amenity,CRO,31,0.1199,93.75,93.75
amenity,shop,31,0.1199,-26.1905,-26.1905
amenity,communal_cooking_area,27,0.1045,285.7143,285.7143
amenity,dispensary,24,0.0929,242.8571,242.8571
amenity,Douches et toilettes,22,0.0851,214.2857,214.2857
amenity,telephone,21,0.0812,-34.375,-34.375
amenity,bureau_de_change,20,0.0774,-28.5714,-28.5714
amenity,parcel_locker,19,0.0735,-26.9231,-26.9231
amenity,post_box,18,0.0696,-59.0909,-59.0909
amenity,bicycle_rental,17,0.0658,-5.5556,-5.5556
amenity,bicycle_repair_station,17,0.0658,-63.0435,-63.0435
amenity,driving_school,17,0.0658,13.3333,13.3333
amenity,non,16,0.0619,128.5714,128.5714
amenity,research_institute,15,0.058,7.1429,7.1429
