key,value,count,percent_of_total_changes_for_key
amenity,school,21687,21.06
amenity,hospital,13757,13.36
amenity,parking,7658,7.44
amenity,place_of_worship,7173,6.97
amenity,drinking_water,5791,5.62
amenity,restaurant,4157,4.04
amenity,toilets,2655,2.58
amenity,college,2256,2.19
amenity,bench,2190,2.13
amenity,bicycle_parking,2170,2.11
amenity,clinic,2016,1.96
amenity,fuel,1915,1.86
amenity,parking_space,1799,1.75
amenity,pharmacy,1743,1.69
amenity,bank,1717,1.67
amenity,cafe,1568,1.52
amenity,recycling,1554,1.51
amenity,kindergarten,1255,1.22
amenity,fast_food,1084,1.05
amenity,bar,1072,1.04
amenity,waste_basket,885,0.86
amenity,police,861,0.84
amenity,shelter,785,0.76
amenity,health_post,783,0.76
amenity,shower,676,0.66
amenity,public_building,646,0.63
amenity,library,616,0.6
amenity,university,538,0.52
amenity,atm,493,0.48
amenity,gambling,487,0.47
amenity,fountain,426,0.41
amenity,marketplace,407,0.4
amenity,community_centre,385,0.37
amenity,charging_station,349,0.34
amenity,grave_yard,322,0.31
amenity,post_office,310,0.3
amenity,street_light,307,0.3
amenity,bus_station,295,0.29
amenity,ice_cream,281,0.27
amenity,townhall,268,0.26
amenity,dentist,266,0.26
amenity,motorcycle_parking,256,0.25
amenity,waste_disposal,255,0.25
amenity,pub,246,0.24
amenity,studio,241,0.23
amenity,embassy,234,0.23
amenity,vending_machine,230,0.22
amenity,cinema,225,0.22
amenity,tap,225,0.22
amenity,doctors,207,0.2
amenity,parking_entrance,161,0.16
amenity,social_facility,152,0.15
amenity,social_centre,149,0.14
amenity,nightclub,147,0.14
amenity,ctc,146,0.14
amenity,shop,138,0.13
amenity,theatre,138,0.13
amenity,car_wash,134,0.13
amenity,post_box,130,0.13
amenity,veterinary,128,0.12
amenity,arts_centre,127,0.12
amenity,utc,120,0.12
amenity,bureau_de_change,118,0.11
amenity,courthouse,118,0.11
amenity,telephone,108,0.1
amenity,canal,107,0.1
amenity,taxi,100,0.1
amenity,dispensary,93,0.09
amenity,market,89,0.09
amenity,community_information_kiosk,86,0.08
amenity,office,82,0.08
amenity,bicycle_repair_station,76,0.07
amenity,cro,69,0.07
amenity,childcare,68,0.07
amenity,money_transfer,67,0.07
amenity,swimming_pool,63,0.06
amenity,car_rental,61,0.06
amenity,water_point,57,0.06
amenity,fire_station,54,0.05
amenity,clock,53,0.05
amenity,ferry_terminal,50,0.05
amenity,prison,48,0.05
amenity,bicycle_rental,44,0.04
amenity,driving_school,44,0.04
amenity,parcel_locker,42,0.04
amenity,CRO,41,0.04
amenity,pont,36,0.03
amenity,food_court,35,0.03
amenity,airport,33,0.03
amenity,communal_cooking_area,31,0.03
amenity,eau_brute,29,0.03
amenity,hunting_stand,28,0.03
amenity,social_center,28,0.03
amenity,School,27,0.03
amenity,research_institute,27,0.03
amenity,photo_booth,25,0.02
amenity,Douches et toilettes,22,0.02
amenity,bus_garage,22,0.02
amenity,car_sharing,22,0.02
amenity,internet_cafe,21,0.02
amenity,music_school,21,0.02
amenity,nursing_home,20,0.02
amenity,public_bookcase,20,0.02
amenity,non,19,0.02
amenity,waste_transfer_station,19,0.02
amenity,conference_centre,18,0.02
amenity,monastery,17,0.02
amenity,8 chambres de toilettes,15,0.01
amenity,animal_shelter,15,0.01
amenity,remittance,15,0.01
amenity,animal_breeding,14,0.01
amenity,exhibition_centre,14,0.01
amenity,no,14,0.01
amenity,trolley_bay,14,0.01
amenity,casino,13,0.01
amenity,sanitary_dump_station,13,0.01
amenity,Ecole,12,0.01
amenity,"kindergarten, High school",12,0.01
amenity,post_depot,12,0.01
amenity,residental,12,0.01
amenity,un_facility,12,0.01
amenity,health_center,11,0.01
amenity,agrocentre,10,0.01
amenity,camp,10,0.01
amenity,language_school,10,0.01
amenity,vehicle_inspection,10,0.01
amenity,hotel,9,0.01
amenity,shelter_emergency,9,0.01
amenity,tailor,9,0.01
amenity,watering_place,9,0.01
amenity,weighbridge,9,0.01
amenity,CTC,8,0.01
amenity,Health@post,8,0.01
amenity,ecole,8,0.01
amenity,events_venue,8,0.01
amenity,hostel,8,0.01
amenity,immigration border,8,0.01
amenity,meat shop,8,0.01
amenity,non_potable,8,0.01
amenity,party_palace,8,0.01
amenity,student_accommodation,8,0.01
amenity,water,8,0.01
amenity,camp_site,7,0.01
amenity,construction,7,0.01
amenity,coworking_space,7,0.01
amenity,crematorium,7,0.01
amenity,food_collection,7,0.01
amenity,garage,7,0.01
amenity,menrod-3,7,0.01
amenity,mortuary,7,0.01
amenity,public_bath,7,0.01
amenity,quincaillerie,7,0.01
amenity,waste=trash;cigarettes,7,0.01
amenity,,6,0.01
amenity,1h,6,0.01
amenity,Douches,6,0.01
amenity,Ecole eben-ezer,6,0.01
amenity,animal_boarding,6,0.01
amenity,bureau,6,0.01
amenity,farming,6,0.01
amenity,financial_advice,6,0.01
amenity,kindergarten 2em cycle,6,0.01
amenity,place,6,0.01
amenity,tree,6,0.01
amenity,Hospital,5,0.0
amenity,Hospital et CTC,5,0.0
amenity,Robinet,5,0.0
amenity,bbq,5,0.0
amenity,ecole 1er cycle,5,0.0
amenity,fire_hydrant,5,0.0
amenity,gym,5,0.0
amenity,luggage_storage,5,0.0
amenity,police; courthouse,5,0.0
amenity,reception_desk,5,0.0
amenity,scrapyard,5,0.0
amenity,shop furniture,5,0.0
amenity,telecommunication,5,0.0
amenity,yes,5,0.0
amenity,Bank,4,0.0
amenity,CTU,4,0.0
amenity,Douches ,4,0.0
amenity,Ecole ,4,0.0
amenity,Indrayani Ni Ma Vi,4,0.0
amenity,Lavabo pour laver les mains,4,0.0
amenity,Simple poubelle,4,0.0
amenity,UTC,4,0.0
amenity,bandstand,4,0.0
amenity,biergarten,4,0.0
amenity,board,4,0.0
amenity,brothel,4,0.0
amenity,cake shop,4,0.0
amenity,centre social,4,0.0
amenity,centre_social_Reverant_Pere_Gerard_Dormeville_bassin,4,0.0
amenity,club,4,0.0
amenity,drinking water,4,0.0
amenity,eau pour laver les mains,4,0.0
amenity,eau_ non_potable,4,0.0
amenity,government,4,0.0
amenity,health_centre,4,0.0
amenity,health_facility,4,0.0
amenity,kirana,4,0.0
amenity,letter_box,4,0.0
amenity,loisir,4,0.0
amenity,maison anne marie devarieux,4,0.0
amenity,marche des orangers,4,0.0
amenity,pasal,4,0.0
amenity,pawnbroker,4,0.0
amenity,petit demele,4,0.0
amenity,plant_nursery,4,0.0
amenity,public_tap,4,0.0
amenity,repair centre,4,0.0
amenity,repair_car,4,0.0
amenity,"school, college",4,0.0
amenity,stadium,4,0.0
amenity,station de radio,4,0.0
amenity,tower,4,0.0
amenity,travel_agency,4,0.0
amenity,C T C,3,0.0
amenity,Clinique,3,0.0
amenity,Dourche,3,0.0
amenity,abattoir,3,0.0
amenity,abris,3,0.0
amenity,archive,3,0.0
amenity,auto parts,3,0.0
amenity,banquet,3,0.0
amenity,bread,3,0.0
amenity,building,3,0.0
amenity,centre de sante,3,0.0
amenity,chowk,3,0.0
amenity,clinique,3,0.0
amenity,consulate,3,0.0
amenity,cosmetic,3,0.0
amenity,customs,3,0.0
amenity,cyber_cafe,3,0.0
amenity,disco,3,0.0
amenity,eglise,3,0.0
amenity,emergency_phone,3,0.0
amenity,epicerie,3,0.0
amenity,factory,3,0.0
amenity,grocery shop,3,0.0
amenity,handwashing_station,3,0.0
amenity,hispital,3,0.0
amenity,kasmetic,3,0.0
amenity,lavoir,3,0.0
amenity,loading_dock,3,0.0
amenity,logistic_base,3,0.0
amenity,loundry,3,0.0
amenity,meditation-center,3,0.0
amenity,monestary,3,0.0
amenity,ngo,3,0.0
amenity,non-potable,3,0.0
amenity,ophelina,3,0.0
amenity,orphanage,3,0.0
amenity,party venue,3,0.0
amenity,place_of_mourning,3,0.0
amenity,plastic pasal,3,0.0
amenity,pole,3,0.0
amenity,radio or tv station;studio,3,0.0
amenity,retirement_home,3,0.0
amenity,robinet,3,0.0
amenity,security,3,0.0
amenity,social_club,3,0.0
amenity,spa,3,0.0
amenity,stationary,3,0.0
amenity,store,3,0.0
amenity,telegraph_office,3,0.0
amenity,toilette,3,0.0
amenity,training,3,0.0
amenity,usine,3,0.0
amenity,workshop,3,0.0
amenity,2 toilettes,2,0.0
amenity,4 robinets,2,0.0
amenity,6 toilettes,2,0.0
amenity,Bright Himrashmi English Boarding School,2,0.0
amenity,"Chapelle funiraille,Ange de la gosseline",2,0.0
amenity,Chelsea International Academy,2,0.0
amenity,College,2,0.0
amenity,Ecole etzer vilaire,2,0.0
amenity,Ecolereformee de tete canal,2,0.0
amenity,Ha,2,0.0
amenity,Health_facility,2,0.0
amenity,High School,2,0.0
amenity,"La Brise FM, 104.9 FM",2,0.0
amenity,Point de vente carte de recharge,2,0.0
amenity,Radio chimen lakay,2,0.0
amenity,Restaurant,2,0.0
amenity,Sapana Ladies Tailors,2,0.0
amenity,Simple Poubelle,2,0.0
amenity,Station Moto,2,0.0
amenity,Transport,2,0.0
amenity,U T C,2,0.0
amenity,administrative,2,0.0
amenity,art_atelier,2,0.0
amenity,bag,2,0.0
amenity,boat_rental,2,0.0
amenity,boiler service,2,0.0
amenity,butcher shop,2,0.0
amenity,car_decoration,2,0.0
amenity,car_rental;fuel,2,0.0
amenity,church,2,0.0
amenity,church_yard,2,0.0
amenity,ciber cafe,2,0.0
amenity,cimetière,2,0.0
amenity,clnic,2,0.0
amenity,compressed_air,2,0.0
amenity,cotton suppliers,2,0.0
amenity,ctu,2,0.0
amenity,cybercafe,2,0.0
amenity,desiners,2,0.0
amenity,dojo,2,0.0
amenity,dressing_room,2,0.0
amenity,eau_non potable,2,0.0
amenity,educational institution,2,0.0
amenity,emergency_shelter,2,0.0
amenity,fancy,2,0.0
amenity,farnichdr,2,0.0
amenity,fist food,2,0.0
amenity,furniturr,2,0.0
amenity,gold shop,2,0.0
amenity,government_building,2,0.0
amenity,graveyard,2,0.0
amenity,gymnasium,2,0.0
amenity,harbor,2,0.0
amenity,health facility,2,0.0
amenity,health post,2,0.0
amenity,health@post,2,0.0
amenity,industry,2,0.0
amenity,kitchen item shop,2,0.0
amenity,laboratory,2,0.0
amenity,meditation_center,2,0.0
amenity,menroad,2,0.0
amenity,mill,2,0.0
amenity,nightclub;bar;restaurant,2,0.0
amenity,non potable,2,0.0
amenity,non traitee,2,0.0
amenity,ophlinat,2,0.0
amenity,organization,2,0.0
amenity,other_health_facility,2,0.0
amenity,parkingfee=no,2,0.0
amenity,party place,2,0.0
amenity,photo,2,0.0
amenity,plastic store,2,0.0
amenity,plaza,2,0.0
amenity,police station,2,0.0
amenity,polling_station,2,0.0
amenity,professional_school,2,0.0
amenity,radio communautaire cornillon f.m. 99.9 f.m.,2,0.0
amenity,ranger_station,2,0.0
amenity,refugee_site,2,0.0
amenity,robinet 4 bouches,2,0.0
amenity,rue zero,2,0.0
amenity,sahakari,2,0.0
amenity,salon de beaute,2,0.0
amenity,sante de sante mission amour d'haiti,2,0.0
