key,count,percent_of_total_changes
building,3891691,10.0691
highway,1486784,3.8468
source,854278,2.2103
name,661084,1.7104
surface,263088,0.6807
tiger:county,192169,0.4972
tiger:cfcc,190842,0.4938
oneway,189248,0.4896
landuse,178775,0.4625
amenity,144413,0.3736
tiger:name_base,141160,0.3652
natural,139107,0.3599
tiger:reviewed,134698,0.3485
tiger:name_type,121173,0.3135
addr:street,110888,0.2869
waterway,107865,0.2791
ref,94332,0.2441
power,87023,0.2252
addr:housenumber,85671,0.2217
addr:city,80326,0.2078
tiger:zip_left,80307,0.2078
service,77233,0.1998
lanes,76078,0.1968
tiger:zip_right,73262,0.1896
addr:country,73118,0.1892
building:levels,68879,0.1782
height,67704,0.1752
operator,59333,0.1535
maxspeed,58084,0.1503
operational_status,54614,0.1413
attribute_source_date,51967,0.1345
attribute_source_type,51787,0.134
layer,48607,0.1258
leaf_type,48394,0.1252
operational_status_quality,48279,0.1249
geometry_source_type,47645,0.1233
barrier,47083,0.1218
genus,46286,0.1198
lit,46163,0.1194
species,45860,0.1187
geometry_source_date,45354,0.1173
damage:event,45150,0.1168
species:it,44780,0.1159
genus:it,43689,0.113
addr:postcode,42760,0.1106
place,41053,0.1062
access,39213,0.1015
cosmha,36138,0.0935
project,35790,0.0926
bicycle,35616,0.0922
note,34545,0.0894
bridge,34239,0.0886
source:date,34190,0.0885
smoothness,32700,0.0846
foot,32679,0.0846
building:structure,32270,0.0835
building:soft_storey,31796,0.0823
building:overhang,31790,0.0823
area,31769,0.0822
leisure,31226,0.0808
practicability,30827,0.0798
SurfaceCondition,30279,0.0783
tiger:name_base_1,30049,0.0777
building:adjacency,28752,0.0744
shop,28623,0.0741
Surface,27963,0.0723
railway,26627,0.0689
Practicability,26625,0.0689
shape:plan,26411,0.0683
crossing,24962,0.0646
admin_level,24655,0.0638
idp:camp_site,24528,0.0635
created_by,24292,0.0629
oid,24153,0.0625
Operational_status,23323,0.0603
material,23222,0.0601
import,22192,0.0574
building:bay:x,21519,0.0557
building:bay:y,21509,0.0557
footway,21232,0.0549
roof:shape,21138,0.0547
building:material,20908,0.0541
Operational_status_quality,20657,0.0534
building:use,20173,0.0522
shape:elevation,19737,0.0511
roof:material,19634,0.0508
phone,19133,0.0495
boundary,19012,0.0492
source_type_imagery,18558,0.048
old_ref,17365,0.0449
building:roof,17243,0.0446
man_made,17215,0.0445
source_date,17188,0.0445
public_transport,17163,0.0444
fixme,16877,0.0437
building_status,16866,0.0436
operator:type,16732,0.0433
tracktype,16594,0.0429
column:size,16524,0.0428
tourism,16358,0.0423
sidewalk,15992,0.0414
turn:lanes,15943,0.0412
haiti:type,15931,0.0412
tiger:name_direction_prefix,15809,0.0409
haiti:code,15616,0.0404
intermittent,15604,0.0404
website,15589,0.0403
haiti:objectid,15569,0.0403
haiti:source,15568,0.0403
haiti:source_file,15565,0.0403
haiti:import_file,15551,0.0402
addr:state,15515,0.0401
haiti:nom,15510,0.0401
haiti:nom2,15497,0.0401
source:haiti,15429,0.0399
type:haiti,15116,0.0391
operator_type,14726,0.0381
gauge,14516,0.0376
bus,14432,0.0373
voltage,14117,0.0365
id,14058,0.0364
vdccode,13993,0.0362
vdcname,13993,0.0362
X,13992,0.0362
Y,13992,0.0362
districtna,13992,0.0362
healthtype,13972,0.0362
tiger:name_type_1,13738,0.0355
addr:district,13369,0.0346
Geometry_source_type,13309,0.0344
network,13120,0.0339
occupants:day,13029,0.0337
floor:material,13013,0.0337
occupants:night,12970,0.0336
occupants:morning,12916,0.0334
occupants:evening,12914,0.0334
building:age,12886,0.0333
frequency,12866,0.0333
is_in,12730,0.0329
is_in:country,12671,0.0328
earthquake_resistant_element,12522,0.0324
earthquake:damage,12390,0.0321
building:condition,12342,0.0319
Geometry_source_date,12272,0.0318
building:neighbour,12044,0.0312
building:shape:elevation,12044,0.0312
building:shape:plan,12041,0.0312
leaf_cycle,12014,0.0311
building_count,11982,0.031
building:level,11858,0.0307
tunnel,11617,0.0301
building:owner,11560,0.0299
building:retrofit,11552,0.0299
building:roof_material,11552,0.0299
building:roof_slope,11552,0.0299
opening_hours,11461,0.0297
building:roof_material:others,11330,0.0293
building:roof_slope:others,11321,0.0293
building:floor_material,11060,0.0286
species:wikidata,10985,0.0284
building:floor_material:others,10825,0.028
ford,10626,0.0275
tactile_paving,10522,0.0272
gnis:fcode,10513,0.0272
nhd:fdate,10444,0.027
gnis:ftype,10436,0.027
nhd:reach_code,10432,0.027
FIXME,10424,0.027
name_1,10384,0.0269
building:structure:others,10361,0.0268
building:ownership,10314,0.0267
